bnumber	dbname	dbid
b0001	UniProtKB/Swiss-Prot	P0AD86
b0001	ASAP	ABE-0000006
b0001	ECOCYC	EG11277
b0001	GeneID	944742
b0002	UniProtKB/Swiss-Prot	P00561
b0002	ASAP	ABE-0000008
b0002	ECOCYC	EG10998
b0002	GeneID	945803
b0003	UniProtKB/Swiss-Prot	P00547
b0003	ASAP	ABE-0000010
b0003	ECOCYC	EG10999
b0003	GeneID	947498
b0004	UniProtKB/Swiss-Prot	P00934
b0004	ASAP	ABE-0000012
b0004	ECOCYC	EG11000
b0004	GeneID	945198
b0005	UniProtKB/Swiss-Prot	P75616
b0005	ASAP	ABE-0000015
b0005	ECOCYC	G6081
b0005	GeneID	944747
b0006	UniProtKB/Swiss-Prot	P0A8I3
b0006	ASAP	ABE-0000018
b0006	ECOCYC	EG10011
b0006	GeneID	944749
b0007	UniProtKB/Swiss-Prot	P30143
b0007	ASAP	ABE-0000020
b0007	ECOCYC	EG11555
b0007	GeneID	944745
b0008	UniProtKB/Swiss-Prot	P0A870
b0008	ASAP	ABE-0000027
b0008	ECOCYC	EG11556
b0008	GeneID	944748
b0009	UniProtKB/Swiss-Prot	P0AF03
b0009	ASAP	ABE-0000030
b0009	ECOCYC	EG11511
b0009	GeneID	944760
b0010	UniProtKB/Swiss-Prot	P0AC98
b0010	ASAP	ABE-0000032
b0010	ECOCYC	EG11512
b0010	GeneID	944792
b0011	UniProtKB/Swiss-Prot	P75617
b0011	ASAP	ABE-0000037
b0011	ECOCYC	G6082
b0011	GeneID	944771
b0012	UniProtKB/Swiss-Prot	P28697
b0012	ASAP	ABE-0000040
b0012	ECOCYC	EG11509
b0012	GeneID	948295
b0013	UniProtKB/Swiss-Prot	P28696
b0013	ASAP	ABE-0000043
b0013	ECOCYC	G8202
b0013	GeneID	944751
b0014	UniProtKB/Swiss-Prot	P0A6Y8
b0014	ASAP	ABE-0000052
b0014	ECOCYC	EG10241
b0014	GeneID	944750
b0015	UniProtKB/Swiss-Prot	P08622
b0015	ASAP	ABE-0000054
b0015	ECOCYC	EG10240
b0015	GeneID	944753
b0016	UniProtKB/Swiss-Prot	P0CF91
b0016	ASAP	ABE-0000058
b0016	ECOCYC	G6083
b0016	GeneID	944754
b0018	UniProtKB/Swiss-Prot	P33236
b0018	ASAP	ABE-0000064
b0018	ECOCYC	EG10373
b0018	GeneID	944756
b4412	UniProtKB/Swiss-Prot	P0ACG4
b4412	ASAP	ABE-0047278
b4412	ECOCYC	G0-9563
b4412	GeneID	2847744
b0019	UniProtKB/Swiss-Prot	P13738
b0019	ASAP	ABE-0000068
b0019	ECOCYC	EG10652
b0019	GeneID	944758
b0020	UniProtKB/Swiss-Prot	P0A9G2
b0020	ASAP	ABE-0000072
b0020	ECOCYC	EG11078
b0020	GeneID	944757
b0021	UniProtKB/Swiss-Prot	P0CF25
b0021	ASAP	ABE-0000075
b0021	ECOCYC	G6085
b0021	GeneID	944743
b0022	UniProtKB/Swiss-Prot	P0CF07
b0022	ASAP	ABE-0000078
b0022	ECOCYC	G6086
b0022	GeneID	948449
b0023	UniProtKB/Swiss-Prot	P0A7U7
b0023	ASAP	ABE-0000082
b0023	ECOCYC	EG10919
