bnumber	GOTerm
b0001	GO:0009088
b0001	GO:0031555
b0001	GO:0031556
b0002	GO:0004072
b0002	GO:0004412
b0002	GO:0005524
b0002	GO:0009088
b0002	GO:0009089
b0002	GO:0009090
b0002	GO:0050661
b0003	GO:0004413
b0003	GO:0005524
b0003	GO:0005829
b0003	GO:0009088
b0004	GO:0004795
b0004	GO:0005829
b0004	GO:0009088
b0004	GO:0030170
b0005	NA
b0006	GO:0005829
b0006	GO:0033194
b0007	GO:0005886
b0007	GO:0015655
b0007	GO:0016021
b0008	GO:0004801
b0008	GO:0005829
b0008	GO:0005975
b0008	GO:0009052
b0008	GO:0016020
b0008	GO:0016744
b0009	GO:0005524
b0009	GO:0005829
b0009	GO:0006777
b0009	GO:0032324
b0009	GO:0042802
b0009	GO:0061598
b0010	GO:0005886
b0010	GO:0015360
b0010	GO:0016021
b0010	GO:0035433
b0010	GO:0071422
b0011	NA
b0012	NA
b0013	NA
b0014	GO:0005524
b0014	GO:0005737
b0014	GO:0005829
b0014	GO:0005886
b0014	GO:0006260
b0014	GO:0008270
b0014	GO:0009408
b0014	GO:0016020
b0014	GO:0016234
b0014	GO:0016887
b0014	GO:0016989
b0014	GO:0032984
b0014	GO:0032991
b0014	GO:0034620
b0014	GO:0043531
b0014	GO:0044183
b0014	GO:0051082
b0014	GO:0051085
b0014	GO:0051087
b0014	GO:0065003
b0015	GO:0003756
b0015	GO:0005524
b0015	GO:0005737
b0015	GO:0005829
b0015	GO:0006260
b0015	GO:0006457
b0015	GO:0008270
b0015	GO:0009408
b0015	GO:0015035
b0015	GO:0016020
b0015	GO:0016032
b0015	GO:0016989
b0015	GO:0031072
b0015	GO:0032991
b0015	GO:0042026
b0015	GO:0051082
b0015	GO:0051085
b0015	GO:0051087
b0015	GO:0065003
b0016	GO:0003677
b0016	GO:0004803
b0016	GO:0006313
b0018	GO:0005886
b0018	GO:0016021
b0019	GO:0005886
b0019	GO:0005887
b0019	GO:0006883
b0019	GO:0015385
b0019	GO:0036376
b0019	GO:0043157
b0019	GO:0051453
b0019	GO:1901612
b0020	GO:0001216
b0020	GO:0003677
b0020	GO:0003700
b0020	GO:0005737
b0020	GO:2000142
b0020	GO:2000144
b0021	GO:0003677
b0021	GO:0004803
b0021	GO:0006313
b0022	GO:0006313
b0023	GO:0000028
b0023	GO:0003735
b0023	GO:0005829
b0023	GO:0006412
b0023	GO:0008073
b0023	GO:0015935
b0023	GO:0022627
b0023	GO:0070181
b0024	GO:0006974
b0025	GO:0003919
b0025	GO:0005524
b0025	GO:0006747
b0025	GO:0006771
b0025	GO:0008531
b0025	GO:0009231
b0025	GO:0009398
b0026	GO:0000049
b0026	GO:0002161
b0026	GO:0004822
b0026	GO:0005524
b0026	GO:0005829
b0026	GO:0006428
b0026	GO:0008270
b0026	GO:0046677
b0027	GO:0004175
b0027	GO:0004190
b0027	GO:0005886
b0027	GO:0005887
b0027	GO:0097304
b0028	GO:0003755
b0028	GO:0005829
b0028	GO:0061077
b0029	GO:0005829
b0029	GO:0016114
b0029	GO:0019288
b0029	GO:0042380
b0029	GO:0046872
b0029	GO:0050992
b0029	GO:0051538
b0029	GO:0051539
b0029	GO:0051745
b0030	GO:0005829
b0030	GO:0006144
b0030	GO:0006152
b0030	GO:0006206
b0030	GO:0006974
b0030	GO:0008477
b0030	GO:0042454
b0030	GO:0045437
b0030	GO:0047622
b0030	GO:0047724
b0030	GO:0050263
b0031	GO:0005829
b0031	GO:0008652
b0031	GO:0008839
b0031	GO:0009089
b0031	GO:0016726
b0031	GO:0019877
b0031	GO:0042802
b0031	GO:0050661
b0031	GO:0051287
b0032	GO:0004088
b0032	GO:0005524
b0032	GO:0005737
b0032	GO:0005829
b0032	GO:0005951
b0032	GO:0006207
b0032	GO:0006526
b0032	GO:0006541
b0032	GO:0006807
b0032	GO:0044205
b0033	GO:0000166
b0033	GO:0004087
b0033	GO:0004088
b0033	GO:0005524
b0033	GO:0005737
b0033	GO:0005829
b0033	GO:0005951
b0033	GO:0006526
b0033	GO:0006541
b0033	GO:0006807
b0033	GO:0008652
b0033	GO:0016597
b0033	GO:0019856
b0033	GO:0044205
b0033	GO:0046872
b0034	GO:0003700
b0034	GO:0006351
b0034	GO:0006355
b0034	GO:0009437
b0035	GO:0009437
b0035	GO:0016740
b0036	GO:0008809
b0036	GO:0016836
b0036	GO:0042413
