bnumber	Pathways
b0001	NA
b0002	HOMOSERSYN-PWY
b0002	THRESYN-PWY
b0003	PWY0-781
b0003	HOMOSER-THRESYN-PWY
b0003	P4-PWY
b0003	THRESYN-PWY
b0004	PWY0-781
b0004	HOMOSER-THRESYN-PWY
b0004	P4-PWY
b0004	THRESYN-PWY
b0005	NA
b0006	NA
b0007	NA
b0008	PENTOSE-P-PWY
b0008	NONOXIPENT-PWY
b0009	PWY-8171
b0010	NA
b0011	NA
b0012	NA
b0013	NA
b0014	NA
b0015	NA
b0016	NA
b0018	NA
b0019	NA
b0020	NA
b0021	NA
b0022	NA
b0023	NA
b0024	NA
b0025	RIBOSYN2-PWY
b0026	TRNA-CHARGING-PWY
b0027	PWY-7884
b0028	NA
b0029	NONMEVIPP-PWY
b0030	PWY-6605
b0030	PWY-6556
b0030	PWY-7195
b0030	PWY-7196
b0031	PWY0-781
b0031	DAPLYSINESYN-PWY
b0031	P4-PWY
b0032	PWY0-41
b0032	AMMASSIM-PWY
b0032	ARGSYN-PWY
b0032	GLUTAMINDEG-PWY
b0032	ARG+POLYAMINE-SYN
b0032	PRPP-PWY
b0032	PWY-7211
b0032	PWY0-162
b0032	PWY-5686
b0033	PWY0-41
b0033	AMMASSIM-PWY
b0033	ARGSYN-PWY
b0033	GLUTAMINDEG-PWY
b0033	ARG+POLYAMINE-SYN
b0033	PRPP-PWY
b0033	PWY-7211
b0033	PWY0-162
b0033	PWY-5686
b0034	NA
b0035	NA
b0036	CARNMET-PWY
b0037	CARNMET-PWY
b0038	CARNMET-PWY
b0039	CARNMET-PWY
b0040	NA
b0041	NA
b0042	NA
b0043	NA
b0044	NA
b0045	NA
b0046	NA
b0047	NA
b0048	1CMET2-PWY
b0048	ALL-CHORISMATE-PWY
b0048	PWY-6612
b0048	PWY-6614
b0049	NA
b0050	NA
b0051	NA
b0052	PYRIDOXSYN-PWY
b0052	PWY0-845
b0053	NA
b0054	NA
b0055	NA
b0058	NA
b0059	NA
b0060	NA
b0061	ARABCAT-PWY
b0061	LYXMET-PWY
b0062	ARABCAT-PWY
b0063	ARABCAT-PWY
b0064	NA
b0065	NA
b0066	NA
b0067	NA
b0068	NA
b0069	NA
b0070	NA
b0071	LEUSYN-PWY
b0071	BRANCHED-CHAIN-AA-SYN-PWY
b0072	LEUSYN-PWY
b0072	BRANCHED-CHAIN-AA-SYN-PWY
b0073	LEUSYN-PWY
b0073	BRANCHED-CHAIN-AA-SYN-PWY
b0074	LEUSYN-PWY
b0074	BRANCHED-CHAIN-AA-SYN-PWY
b0075	NA
b0076	NA
b0077	ILEUSYN-PWY
b0077	VALSYN-PWY
b0077	BRANCHED-CHAIN-AA-SYN-PWY
b0077	THREOCAT-PWY
b0078	ILEUSYN-PWY
b0078	VALSYN-PWY
b0078	BRANCHED-CHAIN-AA-SYN-PWY
b0078	THREOCAT-PWY
b0080	NA
b0081	NA
b0082	NA
b0083	NA
b0084	PWY0-1586
b0085	PEPTIDOGLYCANSYN-PWY
b0085	PWY-6387
b0086	PEPTIDOGLYCANSYN-PWY
b0086	PWY-6387
b0087	PEPTIDOGLYCANSYN-PWY
b0088	PEPTIDOGLYCANSYN-PWY
b0088	PWY-6387
b0089	PWY0-1586
b0090	PEPTIDOGLYCANSYN-PWY
b0091	PEPTIDOGLYCANSYN-PWY
b0091	PWY-6387
b0092	PEPTIDOGLYCANSYN-PWY
b0092	PWY-6387
b0093	NA
b0094	NA
b0095	NA
b0096	NAGLIPASYN-PWY
b0096	KDO-NAGLIPASYN-PWY
b0096	LPSSYN-PWY
b0097	NA
b0098	NA
b0099	NA
b0101	NA
b0102	NA
b0103	COA-PWY
b0103	PANTOSYN-PWY
b0104	NA
b0106	NA
b0107	NA
b0108	NA
b0109	PWY0-781
b0109	PYRIDNUCSYN-PWY
b0110	PWY0-1261
b0111	NA
b0112	NA
b0113	NA
b0114	PYRUVDEHYD-PWY
b0114	GLYCOLYSIS-TCA-GLYOX-BYPASS
b0115	PYRUVDEHYD-PWY
b0115	GLYCOLYSIS-TCA-GLYOX-BYPASS
b0116	PWY-5084
b0116	1CMET2-PWY
b0116	GLYCLEAV-PWY
b0116	PYRUVDEHYD-PWY
b0116	GLYCOLYSIS-TCA-GLYOX-BYPASS
b0116	TCA-GLYOX-BYPASS
b0116	TCA
b0117	NA
b0118	PWY0-42
b0118	GLYOXYLATE-BYPASS
b0118	FERMENTATION-PWY
b0118	GLYCOLYSIS-TCA-GLYOX-BYPASS
b0118	TCA-GLYOX-BYPASS
b0118	TCA
b0119	NA
b0120	BSUBPOLYAMSYN-PWY
b0120	ARG+POLYAMINE-SYN
b0120	POLYAMSYN-PWY
b0121	PWY0-1303
b0121	BSUBPOLYAMSYN-PWY
b0121	ARG+POLYAMINE-SYN
b0121	POLYAMSYN-PWY
b0122	NA
b0123	NA
b0124	GLUCOSE1PMETAB-PWY
b0125	PWY-6609
b0125	PWY-6620
b0125	PWY-6579
b0126	NA
b0127	NA
b0128	NA
b0129	NA
b0130	NA
b0131	PWY-5155
b0131	PANTOSYN-PWY
b0132	NA
b0133	PANTO-PWY
b0133	PANTOSYN-PWY
b0134	PANTO-PWY
b0134	PANTOSYN-PWY
b0135	NA
b0136	NA
b0137	NA
b0138	NA
b0139	NA
b0140	NA
b0141	NA
b0142	PWY-6147
b0142	ALL-CHORISMATE-PWY
b0142	PWY-6612
b0143	NA
b0144	NA
b0145	NA
b0146	NA
b0147	NA
b0148	NA
b0149	PWY0-1586
b0150	NA
b0151	NA
b0152	NA
b0153	NA
b0154	PWY-5188
b0155	NA
b0156	NA
b0157	NA
b0158	NA
b0159	PWY-6153
b0159	PWY-6151
b0159	PWY0-1391
b0160	NA
b0161	NA
b0162	NA
b0163	NA
b0164	NA
b0166	PWY0-781
b0166	DAPLYSINESYN-PWY
b0166	P4-PWY
b0167	NA
b0168	NA
b0169	NA
b0170	NA
b0171	PRPP-PWY
b0171	PWY-7211
b0171	PWY-7208
b0171	PWY-7196
b0171	PWY0-162
b0171	PWY-7176
b0172	NA
b0173	NONMEVIPP-PWY
b0174	PWY-5785
b0174	POLYISOPRENSYN-PWY
b0175	PWY-5667
b0175	PWY0-1319
b0175	PHOSLIPSYN-PWY
b0176	PWY-7884
b0177	NA
b0178	NA
b0179	NAGLIPASYN-PWY
b0179	KDO-NAGLIPASYN-PWY
b0179	LPSSYN-PWY
b0180	PWY0-862
b0180	PWY-6519
b0180	BIOTIN-BIOSYNTHESIS-PWY
b0180	PWY-5973
b0180	FASYN-ELONG-PWY
b0180	PWY-5971
b0180	PWY-6282
b0180	PWY0-881
b0180	PWY-6284
b0181	NAGLIPASYN-PWY
b0181	KDO-NAGLIPASYN-PWY
b0181	LPSSYN-PWY
b0182	NAGLIPASYN-PWY
b0182	KDO-NAGLIPASYN-PWY
b0182	LPSSYN-PWY
b0183	NA
b0184	NA
b0185	PWY0-1264
b0185	PWY-4381
b0185	PWY0-881
b0185	FASYN-INITIAL-PWY
b0186	PWY0-1303
b0186	PWY0-1601
b0186	PWY0-461
b0186	ARG+POLYAMINE-SYN
b0186	POLYAMSYN-PWY
b0187	NA
b0188	NA
b0189	NA
b0190	NA
b0191	NA
b0192	NA
b0193	NA
b0194	TRNA-CHARGING-PWY
b0195	NA
b0196	NA
b0197	NA
b0198	NA
b0199	NA
b0200	PWY0-1241
b0201	NA
b0202	TRNA-CHARGING-PWY
b0203	TRNA-CHARGING-PWY
b0204	NA
b0205	NA
b0206	TRNA-CHARGING-PWY
b0207	KETOGLUCONMET-PWY
b0207	PWY-5453
b0207	METHGLYUT-PWY
b0208	NA
b0209	NA
b0210	NA
b0211	NA
b0212	PWY-5386
b0212	METHGLYUT-PWY
b0213	NA
b0214	NA
b0215	NA
b0216	TRNA-CHARGING-PWY
b0217	NA
b0219	NA
b0220	NA
b0221	FAO-PWY
b0221	PWY0-1337
b0222	PWY0-1241
b0223	NA
b0224	NA
b0225	NA
b0226	NA
b0227	NA
b0228	NA
b0231	NA
b0232	NA
b0233	NA
b0234	NA
b0237	PWY0-1546
b0238	PWY-6609
b0238	PWY-6620
b0238	PWY-6579
b0238	SALVPURINE2-PWY
b0239	NA
b0240	NA
b0241	NA
b0242	PROSYN-PWY
b0243	PROSYN-PWY
b0244	TRNA-CHARGING-PWY
b0245	NA
b0246	NA
b0247	NA
b0248	NA
b0249	NA
b0250	NA
b0251	NA
b0252	NA
b0253	NA
b0254	NA
b0255	NA
b0256	NA
b0258	NA
b0259	NA
b0260	NA
b0261	NA
b0262	NA
b0264	NA
b0265	NA
b0266	NA
b0267	NA
b0268	NA
b0269	NA
b0270	NA
b0271	NA
b0272	NA
b0273	ARGSYN-PWY
b0273	ARG+POLYAMINE-SYN
b0274	NA
b0275	NA
b0276	NA
b0277	NA
b0278	NA
b0279	NA
b0280	NA
b0281	NA
b0283	NA
b0284	NA
b0285	NA
b0286	NA
b0287	NA
b0288	NA
b0289	NA
b0290	NA
b0291	NA
b0292	NA
b0293	NA
b0294	NA
b0295	NA
b0296	NA
b0298	NA
b0299	NA
b0300	NA
b0301	NA
b0303	NA
b0304	NA
b0305	NA
b0306	NA
b0307	NA
b0308	NA
b0310	NA
b0311	BETSYN-PWY
b0312	BETSYN-PWY
b0313	NA
b0314	NA
b0315	NA
b0316	NA
b0317	NA
b0318	NA
b0319	NA
b0320	NA
b0321	NA
b0322	NA
b0323	NA
b0324	NA
b0325	NA
b0326	NA
b0327	NA
b0328	NA
b0329	NA
b0330	NA
b0331	PWY0-42
b0333	PWY0-42
b0334	PWY0-42
b0335	PWY0-42
b0336	NA
b0337	PWY-7194
b0337	PWY-7195
b0337	PWY0-163
b0338	NA
b0339	CYANCAT-PWY
b0340	CYANCAT-PWY
b0341	NA
b0342	NA
b0343	NA
b0344	BGALACT-PWY
b0345	NA
b0346	NA
b0347	PWY0-1277
b0347	HCAMHPDEG-PWY
b0347	PWY-6690
b0348	PWY0-1277
b0348	HCAMHPDEG-PWY
b0348	PWY-6690
b0349	PWY0-1277
b0349	HCAMHPDEG-PWY
b0349	PWY-6690
b0350	PWY-5162
b0350	PWY0-1277
b0351	PWY-7180
b0351	PWY-5162
b0351	PWY0-1277
b0351	ETOH-ACETYLCOA-ANA-PWY
b0351	PWY0-1477
b0351	PWY-5436
b0351	THREOCAT-PWY
b0351	PWY0-1297
b0351	PWY0-1298
b0352	PWY-5162
b0352	PWY0-1277
b0353	NA
b0354	NA
b0355	PWY-1801
b0356	PWY-1801
b0357	NA
b0358	NA
b0360	NA
b0361	NA
b0363	NA
b0364	NA
b0365	NA
b0366	NA
b0367	NA
b0368	PWY0-981
b0369	PWY-5188
b0372	NA
b0373	NA
b0375	NA
b0376	PWY0-1586
b0377	NA
b0378	NA
b0379	NA
b0380	NA
b0381	PEPTIDOGLYCANSYN-PWY
b0381	PWY-6387
b0382	NA
b0383	PWY-7805
b0383	SALVADEHYPOX-PWY
b0383	PWY-5484
b0383	HEXITOLDEGSUPER-PWY
b0384	NA
b0385	NA
b0386	PROSYN-PWY
b0387	NA
b0388	PWY-6163
b0388	ARO-PWY
b0388	COMPLETE-ARO-PWY
b0388	ALL-CHORISMATE-PWY
b0389	NA
b0390	NA
b0391	PWY-6609
b0391	PWY-6611
b0391	SALVADEHYPOX-PWY
b0391	PWY-6620
b0391	PWY-6608
b0391	PWY0-1296
b0391	PWY-7181
b0391	PWY0-1295
b0391	PWY0-181
b0391	PWY0-163
b0391	PWY-6579
b0391	PWY0-1298
b0391	SALVPURINE2-PWY
b0393	NA
b0394	NA
b0396	NA
b0397	NA
b0398	NA
b0399	PWY0-1483
b0400	PWY0-1483
b0401	NA
b0402	NA
b0403	GLYCOCAT-PWY
b0404	PWY-6012
b0405	PWY-6700
b0406	PWY-6700
b0407	PWY-8147
b0408	PWY-8147
b0409	PWY-8147
b0410	NA
b0411	NA
b0412	NA
b0413	NA
b0414	RIBOSYN2-PWY
b0415	RIBOSYN2-PWY
b0416	NA
b0417	THISYN-PWY
b0417	PWY-6894
b0417	PWY-6897
b0418	PWY-5668
b0418	PWY0-1545
b0418	PHOSLIPSYN-PWY
b0419	NA
b0420	NONMEVIPP-PWY
b0420	PYRIDOXSYN-PWY
b0420	PWY0-845
b0420	THISYN-PWY
b0420	PWY-6892
b0421	POLYISOPRENSYN-PWY
b0421	ALL-CHORISMATE-PWY
b0421	UBISYN-PWY
b0421	PWY-5123
b0422	NA
b0423	THISYN-PWY
b0423	PWY-6892
b0424	NA
b0425	PANTO-PWY
b0425	PANTOSYN-PWY
b0426	NA
b0427	NA
b0428	NA
b0429	PWY0-1565
b0429	PWY0-1561
b0429	PWY0-1335
b0429	PWY0-1567
b0429	PWY0-1544
b0429	PWY-7544
b0429	PWY0-1329
b0430	PWY0-1565
b0430	PWY0-1561
b0430	PWY0-1335
b0430	PWY0-1567
b0430	PWY0-1544
b0430	PWY-7544
b0430	PWY0-1329
b0431	PWY0-1565
b0431	PWY0-1561
b0431	PWY0-1335
b0431	PWY0-1567
b0431	PWY0-1544
b0431	PWY-7544
b0431	PWY0-1329
b0432	PWY0-1565
b0432	PWY0-1561
b0432	PWY0-1335
b0432	PWY0-1567
b0432	PWY0-1544
b0432	PWY-7544
b0432	PWY0-1329
b0433	NA
b0434	NA
b0435	NA
b0436	NA
b0437	NA
b0438	NA
b0439	NA
b0440	NA
b0441	NA
b0442	NA
b0443	PWY0-1337
b0444	PWY-6703
b0445	NA
b0446	NA
b0447	NA
b0448	NA
b0449	NA
b0450	NA
b0451	NA
b0452	NA
b0453	NA
b0454	NA
b0455	NA
b0456	NA
b0457	NA
b0458	NA
b0459	NA
b0460	NA
b0461	NA
b0462	NA
b0463	NA
b0464	NA
b0465	NA
b0466	NA
b0467	NA
b0468	NA
b0469	PWY-7805
b0469	PWY-6605
b0470	NA
b0471	NA
b0472	NA
b0473	NA
b0474	PWY-7219
b0474	PWY-7205
b0474	PWY-7222
b0474	PWY-7221
b0474	PPGPPMET-PWY
b0474	PWY-7197
b0474	PWY-7184
b0474	PWY-7187
b0474	PWY0-163
b0474	PWY-6126
b0474	PWY-6125
b0474	PRPP-PWY
b0474	DENOVOPURINE2-PWY
b0474	PWY-7211
b0474	PWY0-166
b0474	PWY-7208
b0474	PWY-7196
b0474	PWY0-162
b0474	PWY-7176
b0475	HEMESYN2-PWY
b0475	HEME-BIOSYNTHESIS-II-1
b0475	PWY0-1415
b0476	NA
b0477	PWY-6611
b0477	PWY-6618
b0477	PWY-6579
b0478	NA
b0479	NA
b0480	NA
b0481	NA
b0482	NA
b0483	NA
b0484	NA
b0485	AMMASSIM-PWY
b0485	GLUTAMINDEG-PWY
b0486	NA
b0487	NA
b0488	NA
b0489	NA
b0490	NA
b0491	NA
b0492	NA
b0493	NA
b0494	PWY-5973
b0494	PWY-6282
b0494	PWY-6284
b0495	NA
b0496	NA
b0497	NA
b0498	NA
b0502	NA
b0503	PWY-7892
b0504	NA
b0505	PWY-5705
b0506	NA
b0507	GLYCOLATEMET-PWY
b0507	GLYCOL-GLYOXDEG-PWY
b0508	NA
b0509	GLYCOLATEMET-PWY
b0509	GLYCOL-GLYOXDEG-PWY
b0511	NA
b0512	PWY0-41
b0512	PWY-5705
b0512	PWY-5698
b0513	NA
b0514	PWY0-1300
b0514	GALACTARDEG-PWY
b0514	GLUCARDEG-PWY
