organism,id1,id2,coexpression
511145,b0001,b3766,125
511145,b0001,b0002,66
511145,b0002,b2478,129
511145,b0002,b0928,57
511145,b0002,b2942,72
511145,b0002,b4006,116
511145,b0002,b1137,57
511145,b0002,b3650,55
511145,b0002,b0388,58
511145,b0002,b0967,59
511145,b0002,b0526,84
511145,b0002,b1830,42
511145,b0002,b0680,58
511145,b0002,b2021,228
511145,b0002,b4054,57
511145,b0002,b3236,56
511145,b0002,b2019,370
511145,b0002,b4200,86
511145,b0002,b1704,112
511145,b0002,b3308,76
511145,b0002,b0072,223
511145,b0002,b1702,75
511145,b0002,b3030,57
511145,b0002,b1260,212
511145,b0002,b2048,56
511145,b0002,b3350,56
511145,b0002,b0800,135
511145,b0002,b2752,56
511145,b0002,b1095,114
511145,b0002,b0907,241
511145,b0002,b3460,85
511145,b0002,b4177,139
511145,b0002,b3735,126
511145,b0002,b2318,55
511145,b0002,b1692,100
511145,b0002,b3960,333
511145,b0002,b4005,178
511145,b0002,b3390,58
511145,b0002,b2609,123
511145,b0002,b0948,59
511145,b0002,b0098,58
511145,b0002,b2557,257
511145,b0002,b0835,165
511145,b0002,b2421,80
511145,b0002,b3301,74
511145,b0002,b2905,73
511145,b0002,b3772,167
511145,b0002,b3530,56
511145,b0002,b0474,56
511145,b0002,b1264,75
511145,b0002,b0631,57
511145,b0002,b1338,59
511145,b0002,b3608,174
511145,b0002,b3020,106
511145,b0002,b4297,96
511145,b0002,b2818,76
511145,b0002,b1714,145
511145,b0002,b4254,56
511145,b0002,b3212,210
511145,b0002,b2913,134
511145,b0002,b3980,100
511145,b0002,b0077,163
511145,b0002,b2383,58
511145,b0002,b0921,57
511145,b0002,b2026,124
511145,b0002,b1748,58
511145,b0002,b1983,219
511145,b0002,b0144,58
511145,b0002,b0174,72
511145,b0002,b0889,112
511145,b0002,b0929,107
511145,b0002,b3458,128
511145,b0002,b3164,58
511145,b0002,b0191,57
511145,b0002,b2935,50
511145,b0002,b2926,58
511145,b0002,b2903,57
511145,b0002,b3414,54
511145,b0002,b0784,56
511145,b0002,b3183,57
511145,b0002,b0888,59
511145,b0002,b4245,86
511145,b0002,b0893,57
511145,b0002,b2708,53
511145,b0002,b0873,57
511145,b0002,b3728,57
511145,b0002,b1131,58
511145,b0002,b1136,58
511145,b0002,b2400,58
511145,b0002,b2153,124
511145,b0002,b3959,76
511145,b0002,b3769,130
511145,b0002,b2891,57
511145,b0002,b4129,74
511145,b0002,b3282,42
511145,b0002,b3839,57
511145,b0002,b3738,89
511145,b0002,b3699,57
511145,b0002,b2697,259
511145,b0002,b2320,60
511145,b0002,b2232,57
511145,b0002,b2871,167
511145,b0002,b0180,56
511145,b0002,b1267,42
511145,b0002,b0708,53
511145,b0002,b1009,111
511145,b0002,b3165,57
511145,b0002,b1329,106
511145,b0002,b0728,57
511145,b0002,b0352,73
511145,b0002,b1244,73
