,id,desc,elements
0,TRNA-CHARGING-PWY,109,"['b0026', 'b0194', 'b0202', 'b0203', 'b0206', 'b0216', 'b0244', 'b0526', 'b0536', 'b0642', 'b0664', 'b0665', 'b0666', 'b0668', 'b0670', 'b0672', 'b0673', 'b0680', 'b0743', 'b0744', 'b0745', 'b0746', 'b0747', 'b0748', 'b0749', 'b0883', 'b0893', 'b0930', 'b0971', 'b1032', 'b1230', 'b1231', 'b1637', 'b1665', 'b1666', 'b1713', 'b1714', 'b1719', 'b1866', 'b1876', 'b1909', 'b1910', 'b1911', 'b1975', 'b1977', 'b1984', 'b1986', 'b1989', 'b2114', 'b2189', 'b2348', 'b2396', 'b2397', 'b2400', 'b2401', 'b2402', 'b2403', 'b2404', 'b2514', 'b2590', 'b2652', 'b2691', 'b2692', 'b2693', 'b2694', 'b2695', 'b2697', 'b2814', 'b2815', 'b2816', 'b2864', 'b2890', 'b2967', 'b3069', 'b3171', 'b3174', 'b3273', 'b3276', 'b3277', 'b3384', 'b3545', 'b3559', 'b3560', 'b3658', 'b3757', 'b3760', 'b3761', 'b3796', 'b3797', 'b3798', 'b3799', 'b3852', 'b3853', 'b3969', 'b3976', 'b3977', 'b3978', 'b3979', 'b4008', 'b4129', 'b4134', 'b4163', 'b4164', 'b4165', 'b4258', 'b4270', 'b4368', 'b4369', 'b4370']"
1,PWY0-1479,95,"['b0202', 'b0203', 'b0206', 'b0216', 'b0244', 'b0536', 'b0664', 'b0665', 'b0666', 'b0668', 'b0670', 'b0672', 'b0673', 'b0743', 'b0744', 'b0745', 'b0746', 'b0747', 'b0748', 'b0749', 'b0883', 'b0971', 'b1032', 'b1084', 'b1230', 'b1231', 'b1286', 'b1652', 'b1665', 'b1666', 'b1804', 'b1909', 'b1910', 'b1911', 'b1975', 'b1977', 'b1984', 'b1986', 'b1989', 'b2189', 'b2268', 'b2348', 'b2396', 'b2397', 'b2401', 'b2402', 'b2403', 'b2404', 'b2590', 'b2652', 'b2691', 'b2692', 'b2693', 'b2694', 'b2695', 'b2814', 'b2815', 'b2816', 'b2864', 'b2967', 'b3069', 'b3123', 'b3164', 'b3171', 'b3174', 'b3273', 'b3276', 'b3277', 'b3545', 'b3643', 'b3658', 'b3704', 'b3757', 'b3760', 'b3761', 'b3796', 'b3797', 'b3798', 'b3799', 'b3852', 'b3853', 'b3969', 'b3976', 'b3977', 'b3978', 'b3979', 'b4008', 'b4134', 'b4163', 'b4164', 'b4165', 'b4270', 'b4368', 'b4369', 'b4370']"
2,ALL-CHORISMATE-PWY,58,"['b0048', 'b0142', 'b0388', 'b0421', 'b0583', 'b0586', 'b0593', 'b0594', 'b0595', 'b0596', 'b0662', 'b0754', 'b0908', 'b0928', 'b1096', 'b1260', 'b1261', 'b1262', 'b1263', 'b1264', 'b1606', 'b1686', 'b1693', 'b1704', 'b1812', 'b1865', 'b2153', 'b2232', 'b2260', 'b2261', 'b2262', 'b2263', 'b2264', 'b2265', 'b2315', 'b2329', 'b2563', 'b2599', 'b2600', 'b2601', 'b2889', 'b2906', 'b2907', 'b3058', 'b3177', 'b3187', 'b3281', 'b3360', 'b3389', 'b3390', 'b3475', 'b3770', 'b3833', 'b3843', 'b3930', 'b4039', 'b4040', 'b4054']"
3,GLYCOLYSIS-TCA-GLYOX-BYPASS,44,"['b0114', 'b0115', 'b0116', 'b0118', 'b0720', 'b0721', 'b0722', 'b0723', 'b0724', 'b0726', 'b0727', 'b0728', 'b0729', 'b0755', 'b0766', 'b1136', 'b1276', 'b1479', 'b1611', 'b1612', 'b1675', 'b1676', 'b1702', 'b1723', 'b1779', 'b1854', 'b2097', 'b2210', 'b2779', 'b2843', 'b2925', 'b2926', 'b2929', 'b2930', 'b3236', 'b3612', 'b3916', 'b3919', 'b3925', 'b4014', 'b4015', 'b4025', 'b4122', 'b4232']"
4,PRPP-PWY,40,"['b0032', 'b0033', 'b0171', 'b0474', 'b0522', 'b0523', 'b0945', 'b1062', 'b1131', 'b1207', 'b1281', 'b1849', 'b2019', 'b2020', 'b2021', 'b2022', 'b2023', 'b2024', 'b2025', 'b2026', 'b2234', 'b2235', 'b2312', 'b2476', 'b2499', 'b2507', 'b2508', 'b2518', 'b2557', 'b2675', 'b2676', 'b2780', 'b3642', 'b3648', 'b4005', 'b4006', 'b4177', 'b4238', 'b4244', 'b4245']"
5,FERMENTATION-PWY,33,"['b0118', 'b0720', 'b0903', 'b1136', 'b1241', 'b1380', 'b1478', 'b1479', 'b1611', 'b1612', 'b1675', 'b1676', 'b1854', 'b2296', 'b2297', 'b2455', 'b2458', 'b2719', 'b2720', 'b2721', 'b2722', 'b2723', 'b2724', 'b2929', 'b3114', 'b3236', 'b3956', 'b4079', 'b4122', 'b4151', 'b4152', 'b4153', 'b4154']"
6,PWY0-781,27,"['b0002', 'b0003', 'b0004', 'b0031', 'b0109', 'b0166', 'b0639', 'b0750', 'b0907', 'b0928', 'b1622', 'b1740', 'b2472', 'b2478', 'b2574', 'b2838', 'b2942', 'b3008', 'b3359', 'b3433', 'b3809', 'b3829', 'b3939', 'b3940', 'b4013', 'b4019', 'b4024']"
7,HEXITOLDEGSUPER-PWY,26,"['b0383', 'b0755', 'b0766', 'b1676', 'b1702', 'b1723', 'b1779', 'b1854', 'b2091', 'b2092', 'b2093', 'b2094', 'b2096', 'b2097', 'b2705', 'b2779', 'b2925', 'b2926', 'b2930', 'b3137', 'b3600', 'b3612', 'b3916', 'b3919', 'b3925', 'b4232']"
8,LPSSYN-PWY,24,"['b0096', 'b0179', 'b0181', 'b0182', 'b0524', 'b0915', 'b0918', 'b1054', 'b1215', 'b1855', 'b2708', 'b3197', 'b3198', 'b3620', 'b3621', 'b3623', 'b3625', 'b3626', 'b3627', 'b3628', 'b3630', 'b3631', 'b3632', 'b3633']"
9,PWY-8147,24,"['b0407', 'b0408', 'b0409', 'b0996', 'b1873', 'b2194', 'b2195', 'b2196', 'b2197', 'b2198', 'b2199', 'b2200', 'b2201', 'b2202', 'b2582', 'b3175', 'b3300', 'b3705', 'b3781', 'b3860', 'b3981', 'b4070', 'b4071', 'b4136']"
10,GLYCOLYSIS-E-D,23,"['b0755', 'b0766', 'b0767', 'b1676', 'b1702', 'b1723', 'b1779', 'b1850', 'b1851', 'b1852', 'b1854', 'b2097', 'b2779', 'b2843', 'b2925', 'b2926', 'b2930', 'b3612', 'b3916', 'b3919', 'b3925', 'b4025', 'b4232']"
