id	desc	pval	common_size	target_size
GO:0044281	small molecule metabolic process	8.44e-25	57	860
GO:0019752	carboxylic acid metabolic process	3.44e-21	43	497
GO:0043436	oxoacid metabolic process	2.13e-20	43	521
GO:0006082	organic acid metabolic process	5.92e-20	43	535
GO:0032787	monocarboxylic acid metabolic process	1.93e-17	28	216
GO:0003824	catalytic activity	1.14e-15	68	1965
GO:0044237	cellular metabolic process	1.20e-14	65	1833
GO:0008152	metabolic process	1.85e-14	67	1984
GO:0009260	ribonucleotide biosynthetic process	7.02e-14	15	56
GO:0046390	ribose phosphate biosynthetic process	1.48e-13	15	59
GO:0009259	ribonucleotide metabolic process	2.33e-13	17	88
GO:0019380	3-phenylpropionate catabolic process	5.70e-13	9	11
GO:0018962	3-phenylpropionate metabolic process	5.70e-13	9	11
GO:0019693	ribose phosphate metabolic process	6.60e-13	17	94
GO:0009165	nucleotide biosynthetic process	3.76e-12	16	89
GO:1901293	nucleoside phosphate biosynthetic process	3.76e-12	16	89
GO:0046395	carboxylic acid catabolic process	5.87e-12	21	185
GO:0016054	organic acid catabolic process	1.06e-11	21	191
GO:0009117	nucleotide metabolic process	2.72e-11	18	138
GO:0006753	nucleoside phosphate metabolic process	4.31e-11	18	142
GO:0016491	oxidoreductase activity	9.19e-11	29	435
GO:0044282	small molecule catabolic process	9.77e-11	24	291
GO:0009220	pyrimidine ribonucleotide biosynthetic process	1.09e-10	8	13
GO:0019856	pyrimidine nucleobase biosynthetic process	1.09e-10	8	13
GO:0071704	organic substance metabolic process	1.54e-10	60	1846
GO:0006221	pyrimidine nucleotide biosynthetic process	1.67e-10	9	21
GO:0009218	pyrimidine ribonucleotide metabolic process	5.51e-10	8	16
GO:0006220	pyrimidine nucleotide metabolic process	7.58e-10	9	25
GO:0042178	xenobiotic catabolic process	1.47e-09	9	27
GO:0003674	molecular_function	1.83e-09	75	3159
GO:0046112	nucleobase biosynthetic process	2.09e-09	8	19
GO:0005622	intracellular anatomical structure	3.23e-09	51	1454
GO:1901564	organonitrogen compound metabolic process	3.30e-09	39	889
GO:0044205	'de novo' UMP biosynthetic process	3.68e-09	6	7
GO:0005737	cytoplasm	4.57e-09	50	1415
GO:0006805	xenobiotic metabolic process	4.83e-09	9	31
GO:0071466	cellular response to xenobiotic stimulus	4.83e-09	9	31
GO:0042537	benzene-containing compound metabolic process	4.83e-09	9	31
GO:0009410	response to xenobiotic stimulus	6.34e-09	9	32
GO:0072330	monocarboxylic acid biosynthetic process	7.98e-09	10	45
GO:0009068	aspartate family amino acid catabolic process	9.11e-09	8	23
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	1.62e-08	6	9
GO:0072528	pyrimidine-containing compound biosynthetic process	1.73e-08	9	36
GO:1901575	organic substance catabolic process	1.78e-08	27	476
GO:0090407	organophosphate biosynthetic process	1.82e-08	17	184
GO:0006222	UMP biosynthetic process	3.00e-08	6	10
GO:0009174	pyrimidine ribonucleoside monophosphate biosynthetic process	3.00e-08	6	10
GO:0009056	catabolic process	3.28e-08	27	490
GO:0006099	tricarboxylic acid cycle	5.35e-08	8	29
GO:0055086	nucleobase-containing small molecule metabolic process	5.71e-08	18	225
GO:0006520	cellular amino acid metabolic process	6.10e-08	19	253
