id	desc	pval	common_size	target_size
IPR016163		1.19e-04	4	14
IPR015590		1.19e-04	4	14
IPR016162		1.19e-04	4	14
IPR016161		1.55e-04	4	15
IPR004614		6.02e-04	2	2
IPR004632		6.02e-04	2	2
IPR005949		6.02e-04	2	2
IPR036291		8.24e-04	8	112
IPR042112		1.34e-03	2	3
IPR002505		1.34e-03	2	3
IPR042113		1.34e-03	2	3
IPR017941		1.34e-03	2	3
IPR015813		2.03e-03	3	14
IPR004184		2.35e-03	2	4
IPR036922		2.35e-03	2	4
IPR015422		3.53e-03	4	35
IPR036633		3.64e-03	2	5
IPR008286		3.64e-03	2	5
IPR011193		3.64e-03	2	5
IPR000310		3.64e-03	2	5
IPR005308		3.64e-03	2	5
IPR019777		5.18e-03	2	6
IPR001150		5.18e-03	2	6
IPR004821		5.18e-03	2	6
IPR020557		5.18e-03	2	6
IPR015424		5.64e-03	4	40
IPR015421		5.64e-03	4	40
IPR005814		6.97e-03	2	7
IPR017926		9.00e-03	2	8
IPR029510		0.0113	2	9
IPR004468		0.0175	1	1
IPR033828		0.0175	1	1
IPR017456		0.0175	1	1
IPR022805		0.0175	1	1
IPR018129		0.0175	1	1
IPR033129		0.0175	1	1
IPR021135		0.0175	1	1
IPR016475		0.0175	1	1
IPR028979		0.0175	1	1
IPR010766		0.0175	1	1
IPR023793		0.0175	1	1
IPR011763		0.0175	1	1
IPR001095		0.0175	1	1
IPR035685		0.0175	1	1
IPR017629		0.0175	1	1
IPR012425		0.0175	1	1
IPR003231		0.0175	1	1
IPR003700		0.0175	1	1
IPR010102		0.0175	1	1
IPR005719		0.0175	1	1
IPR012135		0.0175	1	1
IPR001295		0.0175	1	1
IPR002195		0.0175	1	1
IPR004721		0.0175	1	1
IPR012838		0.0175	1	1
IPR015038		0.0175	1	1
IPR033937		0.0175	1	1
IPR005483		0.0175	1	1
IPR036897		0.0175	1	1
IPR006275		0.0175	1	1
IPR005480		0.0175	1	1
IPR001557		0.0175	1	1
IPR010097		0.0175	1	1
IPR001252		0.0175	1	1
IPR023958		0.0175	1	1
IPR001236		0.0175	1	1
IPR022383		0.0175	1	1
IPR015426		0.0175	1	1
IPR003361		0.0175	1	1
IPR012408		0.0175	1	1
IPR001980		0.0175	1	1
IPR004655		0.0175	1	1
IPR013751		0.0175	1	1
IPR013747		0.0175	1	1
IPR003190		0.0175	1	1
IPR015929		0.0175	1	1
IPR004406		0.0175	1	1
IPR036288		0.0175	1	1
IPR015933		0.0175	1	1
IPR002082		0.0175	1	1
IPR023643		0.0175	1	1
IPR004467		0.0175	1	1
IPR023031		0.0175	1	1
IPR013332		0.0175	1	1
IPR003710		0.0175	1	1
IPR013752		0.0175	1	1
IPR003721		0.0175	1	1
IPR042176		0.0175	1	1
IPR007862		0.0175	1	1
IPR033690		0.0175	1	1
IPR006259		0.0175	1	1
IPR000850		0.0175	1	1
IPR023739		0.0175	1	1
IPR005677		0.0175	1	1
IPR014043		0.0175	1	1
IPR004410		0.0175	1	1
IPR024925		0.0175	1	1
IPR016036		0.0175	1	1
IPR001227		0.0175	1	1
IPR005267		0.0175	1	1
IPR036235		0.0175	1	1
IPR000206		0.0175	1	1
IPR008932		0.0175	1	1
IPR013823		0.0175	1	1
IPR000506		0.0175	1	1
IPR013023		0.0175	1	1
IPR013116		0.0175	1	1
IPR012147		0.0175	1	1
IPR001977		0.0175	1	1
IPR004439		0.0175	1	1
IPR010953		0.0175	1	1
IPR034789		0.0175	1	1
IPR012079		0.0175	1	1
IPR023667		0.0175	1	1
IPR001891		0.0175	1	1
IPR030862		0.0175	1	1
IPR003418		0.0175	1	1
IPR005884		0.0175	1	1
IPR011280		0.0175	1	1
IPR002606		0.0175	1	1
IPR015864		0.0175	1	1
IPR023468		0.0175	1	1
IPR023465		0.0175	1	1
IPR015865		0.0175	1	1
IPR023791		0.0175	1	1
IPR000639		0.0175	1	1
IPR036793		0.0175	1	1
IPR002801		0.0175	1	1
IPR020545		0.0175	1	1
IPR036792		0.0175	1	1
IPR020542		0.0175	1	1
IPR023712		0.0175	1	1
