id	desc	pval	common_size	target_size
FERMENTATION-PWY		2.08e-39	28	33
PWY0-162		2.30e-14	10	12
PWY0-1277		2.30e-14	10	12
PWY-7211		1.32e-11	10	23
PWY0-461		1.40e-11	8	10
PWY0-1477		1.40e-11	8	10
PWY-5686		1.50e-10	7	8
TCA		1.67e-10	9	21
PANTOSYN-PWY		3.38e-10	7	9
TCA-GLYOX-BYPASS		3.68e-10	9	23
THREOCAT-PWY		2.09e-09	8	19
PRPP-PWY		5.21e-09	10	43
GLYCOLYSIS-TCA-GLYOX-BYPASS		6.46e-09	10	44
HCAMHPDEG-PWY		8.09e-09	6	8
PWY-6690		8.09e-09	6	8
ETOH-ACETYLCOA-ANA-PWY		9.09e-07	4	4
PWY-5162		9.09e-07	4	4
PWY-4381		2.19e-06	4	5
PANTO-PWY		2.19e-06	4	5
PWY-5437		4.48e-06	4	6
GLYOXYLATE-BYPASS		8.19e-06	4	7
FASYN-INITIAL-PWY		8.19e-06	4	7
PWY0-1312		2.29e-05	3	3
ARG+POLYAMINE-SYN		2.39e-05	5	19
PWY0-881		4.73e-05	4	11
ACETATEUTIL-PWY		5.37e-05	3	4
PWY-5436		5.37e-05	3	4
PWY-7176		5.37e-05	3	4
PWY-7180		1.04e-04	3	5
PWY-7208		1.04e-04	3	5
PWY0-1582		2.77e-04	3	7
PWY0-1297		2.77e-04	3	7
PWY0-1576		4.08e-04	3	8
PWY0-1298		4.08e-04	3	8
PWY-6537		6.02e-04	2	2
PWY0-1601		6.02e-04	2	2
GLUTAMINDEG-PWY		1.02e-03	3	11
PWY-7196		1.02e-03	3	11
ARGSYN-PWY		1.31e-03	3	12
PWY0-1303		1.34e-03	2	3
COA-PWY		1.34e-03	2	3
PWY-7205		1.34e-03	2	3
AMMASSIM-PWY		1.65e-03	3	13
PWY-5966		2.35e-03	2	4
PWY-7197		2.35e-03	2	4
PWY0-1336		3.50e-03	3	17
PWY-7221		3.64e-03	2	5
PPGPPMET-PWY		3.64e-03	2	5
PWY0-41		6.97e-03	2	7
POLYAMSYN-PWY		6.97e-03	2	7
PWY0-163		0.0113	2	9
PWY-7187		0.0113	2	9
ARGDEG-PWY		0.0137	2	10
PWY-7222		0.0137	2	10
ORNARGDEG-PWY		0.0164	2	11
PWY-5155		0.0175	1	1
PWY-6126		0.0193	2	12
PWY-6125		0.0224	2	13
PWY-7184		0.0224	2	13
PWY0-166		0.0329	2	16
GLUCONEO-PWY		0.0407	2	18
