id	desc	pval	common_size	target_size
9603882	https://pubmed.ncbi.nlm.nih.gov/9603882	1.55e-11	9	16
3531186	https://pubmed.ncbi.nlm.nih.gov/3531186	2.95e-11	8	11
15911532	https://pubmed.ncbi.nlm.nih.gov/15911532	7.82e-09	27	458
6345502	https://pubmed.ncbi.nlm.nih.gov/6345502	1.62e-08	6	9
17187058	https://pubmed.ncbi.nlm.nih.gov/17187058	2.40e-08	26	449
18535147	https://pubmed.ncbi.nlm.nih.gov/18535147	3.00e-08	6	10
15808934	https://pubmed.ncbi.nlm.nih.gov/15808934	8.98e-08	5	6
30498244	https://pubmed.ncbi.nlm.nih.gov/30498244	8.98e-08	5	6
17012394	https://pubmed.ncbi.nlm.nih.gov/17012394	1.66e-07	13	119
16858726	https://pubmed.ncbi.nlm.nih.gov/16858726	1.66e-07	20	299
9068649	https://pubmed.ncbi.nlm.nih.gov/9068649	1.91e-07	5	7
10567070	https://pubmed.ncbi.nlm.nih.gov/10567070	1.91e-07	5	7
18304323	https://pubmed.ncbi.nlm.nih.gov/18304323	5.19e-07	32	756
2187144	https://pubmed.ncbi.nlm.nih.gov/2187144	6.54e-07	5	9
18781696	https://pubmed.ncbi.nlm.nih.gov/18781696	6.54e-07	5	9
12963713	https://pubmed.ncbi.nlm.nih.gov/12963713	9.13e-07	6	18
7851435	https://pubmed.ncbi.nlm.nih.gov/7851435	1.09e-06	5	10
1625581	https://pubmed.ncbi.nlm.nih.gov/1625581	1.09e-06	5	10
11532138	https://pubmed.ncbi.nlm.nih.gov/11532138	2.19e-06	4	5
9512707	https://pubmed.ncbi.nlm.nih.gov/9512707	2.19e-06	4	5
179975	https://pubmed.ncbi.nlm.nih.gov/179975	2.19e-06	4	5
15885621	https://pubmed.ncbi.nlm.nih.gov/15885621	2.19e-06	4	5
16739977	https://pubmed.ncbi.nlm.nih.gov/16739977	2.19e-06	4	5
15781419	https://pubmed.ncbi.nlm.nih.gov/15781419	2.19e-06	4	5
14731280	https://pubmed.ncbi.nlm.nih.gov/14731280	4.48e-06	4	6
9298646	https://pubmed.ncbi.nlm.nih.gov/9298646	6.90e-06	15	222
8034728	https://pubmed.ncbi.nlm.nih.gov/8034728	7.75e-06	5	15
9098055	https://pubmed.ncbi.nlm.nih.gov/9098055	1.38e-05	4	8
11251833	https://pubmed.ncbi.nlm.nih.gov/11251833	1.38e-05	4	8
7747941	https://pubmed.ncbi.nlm.nih.gov/7747941	1.41e-05	5	17
7037743	https://pubmed.ncbi.nlm.nih.gov/7037743	2.29e-05	3	3
19471981	https://pubmed.ncbi.nlm.nih.gov/19471981	2.29e-05	3	3
29546354	https://pubmed.ncbi.nlm.nih.gov/29546354	2.29e-05	3	3
19156443	https://pubmed.ncbi.nlm.nih.gov/19156443	2.29e-05	3	3
15988767	https://pubmed.ncbi.nlm.nih.gov/15988767	2.29e-05	3	3
9226257	https://pubmed.ncbi.nlm.nih.gov/9226257	2.29e-05	3	3
7033467	https://pubmed.ncbi.nlm.nih.gov/7033467	2.29e-05	3	3
1812811	https://pubmed.ncbi.nlm.nih.gov/1812811	3.28e-05	4	10
9484901	https://pubmed.ncbi.nlm.nih.gov/9484901	3.28e-05	4	10
15654871	https://pubmed.ncbi.nlm.nih.gov/15654871	5.37e-05	3	4
7642483	https://pubmed.ncbi.nlm.nih.gov/7642483	5.37e-05	3	4
10373108	https://pubmed.ncbi.nlm.nih.gov/10373108	5.37e-05	3	4
8419359	https://pubmed.ncbi.nlm.nih.gov/8419359	5.37e-05	3	4
2673305	https://pubmed.ncbi.nlm.nih.gov/2673305	5.37e-05	3	4
3910107	https://pubmed.ncbi.nlm.nih.gov/3910107	5.37e-05	3	4
6754697	https://pubmed.ncbi.nlm.nih.gov/6754697	5.37e-05	3	4
3008149	https://pubmed.ncbi.nlm.nih.gov/3008149	5.37e-05	3	4
16829675	https://pubmed.ncbi.nlm.nih.gov/16829675	5.37e-05	3	4
14109218	https://pubmed.ncbi.nlm.nih.gov/14109218	5.37e-05	3	4
2999070	https://pubmed.ncbi.nlm.nih.gov/2999070	5.37e-05	3	4
3511050	https://pubmed.ncbi.nlm.nih.gov/3511050	5.37e-05	3	4
10981634	https://pubmed.ncbi.nlm.nih.gov/10981634	5.37e-05	3	4
8499449	https://pubmed.ncbi.nlm.nih.gov/8499449	5.37e-05	3	4
11850430	https://pubmed.ncbi.nlm.nih.gov/11850430	5.37e-05	3	4
10833406	https://pubmed.ncbi.nlm.nih.gov/10833406	5.37e-05	3	4
2643383	https://pubmed.ncbi.nlm.nih.gov/2643383	5.37e-05	3	4
3285122	https://pubmed.ncbi.nlm.nih.gov/3285122	5.37e-05	3	4
19383690	https://pubmed.ncbi.nlm.nih.gov/19383690	5.37e-05	3	4
23582331	https://pubmed.ncbi.nlm.nih.gov/23582331	5.37e-05	3	4
22841294	https://pubmed.ncbi.nlm.nih.gov/22841294	5.37e-05	3	4
15104539	https://pubmed.ncbi.nlm.nih.gov/15104539	6.62e-05	4	12
8399388	https://pubmed.ncbi.nlm.nih.gov/8399388	1.04e-04	3	5
18337747	https://pubmed.ncbi.nlm.nih.gov/18337747	1.04e-04	3	5
6251026	https://pubmed.ncbi.nlm.nih.gov/6251026	1.04e-04	3	5
7041115	https://pubmed.ncbi.nlm.nih.gov/7041115	1.04e-04	3	5
391567	https://pubmed.ncbi.nlm.nih.gov/391567	1.04e-04	3	5
