id	desc	pval	common_size	target_size
TU0-7202		3.66e-08	5	5
TU00153		6.54e-07	5	9
TU0-4001		2.19e-06	4	5
TU0-2402		4.48e-06	4	6
TU00023		5.37e-05	3	4
TU0-45225		5.37e-05	3	4
TU0-42499		6.02e-04	2	2
TU00313		6.02e-04	2	2
TU00109		6.02e-04	2	2
TU00110		6.02e-04	2	2
TU0-8301		6.02e-04	2	2
TU442		1.34e-03	2	3
TU00266		1.34e-03	2	3
TU0-4823		1.34e-03	2	3
TU0-45238		1.34e-03	2	3
TU0-1921		1.34e-03	2	3
TU00484		1.34e-03	2	3
TU00485		1.34e-03	2	3
TU0-5		2.35e-03	2	4
TU0-1		3.64e-03	2	5
TU0-13003		0.0175	1	1
TU0-13287		0.0175	1	1
TU00104		0.0175	1	1
TU0-42537		0.0175	1	1
TU00090		0.0175	1	1
TU0-45175		0.0175	1	1
TU0-14633		0.0175	1	1
TU0-13440		0.0175	1	1
TU0-45220		0.0175	1	1
TU0-13083		0.0175	1	1
TU0-13651		0.0175	1	1
TU00230		0.0175	1	1
TU0-42602		0.0175	1	1
TU0-13268		0.0175	1	1
TU0-8753		0.0175	1	1
TU0-42600		0.0175	1	1
TU0-8486		0.0175	1	1
TU0-14513		0.0175	1	1
TU00105		0.0175	1	1
TU0-42482		0.0175	1	1
TU00416		0.0175	1	1
TU00106		0.0175	1	1
TU00383		0.0175	1	1
TU00380		0.0175	1	1
TU00381		0.0175	1	1
TU00384		0.0175	1	1
TU00382		0.0175	1	1
TU0-6884		0.0175	1	1
TU0-13365		0.0175	1	1
TU00060		0.0175	1	1
TU00061		0.0175	1	1
TU0-6481		0.0175	1	1
TU0-1161		0.0175	1	1
TU0-14608		0.0175	1	1
TU796		0.0175	1	1
TU00425		0.0175	1	1
TU00107		0.0175	1	1
TU00385		0.0175	1	1
TU0-6510		0.0175	1	1
TU0-14745		0.0175	1	1
TU00108		0.0175	1	1
TU0-8464		0.0175	1	1
TU0-8353		0.0175	1	1
TU0-13286		0.0175	1	1
TU0-8302		0.0175	1	1
TU00198		0.0175	1	1
TU0-45181		0.0175	1	1
TU546		0.0175	1	1
TU00293		0.0347	1	2
TU441		0.0347	1	2
TU443		0.0347	1	2
TU0-14654		0.0347	1	2
TU0-6428		0.0347	1	2
TU0-6557		0.0347	1	2
TU0-14493		0.0347	1	2
TU00216		0.0347	1	2
TU00467		0.0347	1	2
TU00377		0.0347	1	2
TU00378		0.0347	1	2
TU00379		0.0347	1	2
TU00334		0.0347	1	2
TU0-14049		0.0347	1	2
TU0-12924		0.0347	1	2
