bnumber,keyword
b0001,Amino-acid biosynthesis
b0001,Leader peptide
b0001,Reference proteome
b0001,Threonine biosynthesis
b0002,3D-structure
b0002,ATP-binding
b0002,Allosteric enzyme
b0002,Amino-acid biosynthesis
b0002,Direct protein sequencing
b0002,Kinase
b0002,Multifunctional enzyme
b0002,NADP
b0002,Nucleotide-binding
b0002,Oxidoreductase
b0002,Reference proteome
b0002,Repeat
b0002,Threonine biosynthesis
b0002,Transferase
b0003,ATP-binding
b0003,Amino-acid biosynthesis
b0003,Cytoplasm
b0003,Kinase
b0003,Nucleotide-binding
b0003,Reference proteome
b0003,Threonine biosynthesis
b0003,Transferase
b0004,3D-structure
b0004,Amino-acid biosynthesis
b0004,Direct protein sequencing
b0004,Lyase
b0004,Pyridoxal phosphate
b0004,Reference proteome
b0004,Threonine biosynthesis
b0005,Reference proteome
b0005,Signal
b0006,3D-structure
b0006,Reference proteome
b0006,Stress response
b0007,Cell inner membrane
b0007,Cell membrane
b0007,Membrane
b0007,Reference proteome
b0007,Symport
b0007,Transmembrane
b0007,Transmembrane helix
b0007,Transport
b0008,3D-structure
b0008,Cytoplasm
b0008,Direct protein sequencing
b0008,Pentose shunt
b0008,Reference proteome
b0008,Schiff base
b0008,Transferase
b0009,3D-structure
b0009,ATP-binding
b0009,Molybdenum cofactor biosynthesis
b0009,Nucleotide-binding
b0009,Reference proteome
b0009,Transferase
b0010,3D-structure
b0010,Cell inner membrane
b0010,Cell membrane
b0010,Ion transport
b0010,Membrane
b0010,Reference proteome
b0010,Symport
b0010,Transmembrane
b0010,Transmembrane helix
b0010,Transport
b0011,Reference proteome
b0012,Reference proteome
b0013,Reference proteome
b0013,Signal
b0014,3D-structure
b0014,ATP-binding
b0014,Acetylation
b0014,Cell inner membrane
b0014,Cell membrane
b0014,Chaperone
b0014,Cytoplasm
b0014,DNA replication
b0014,Direct protein sequencing
b0014,Membrane
b0014,Nucleotide-binding
b0014,Phosphoprotein
b0014,Reference proteome
b0014,Stress response
b0015,3D-structure
b0015,Chaperone
b0015,Cytoplasm
b0015,DNA replication
b0015,Direct protein sequencing
b0015,Metal-binding
b0015,Reference proteome
b0015,Repeat
b0015,Stress response
b0015,Zinc
b0015,Zinc-finger
b0016,DNA recombination
b0016,DNA-binding
b0016,Reference proteome
b0016,Transposable element
b0016,Transposition
b0018,Cell inner membrane
b0018,Cell membrane
b0018,Membrane
b0018,Reference proteome
b0018,Toxin-antitoxin system
b0018,Transmembrane
b0018,Transmembrane helix
b0019,3D-structure
b0019,Antiport
b0019,Cell inner membrane
b0019,Cell membrane
b0019,Direct protein sequencing
b0019,Ion transport
b0019,Membrane
b0019,Reference proteome
b0019,Sodium
b0019,Sodium transport
b0019,Transmembrane
b0019,Transmembrane helix
b0019,Transport
b0020,Activator
b0020,Cytoplasm
b0020,DNA-binding
b0020,Reference proteome
b0020,Transcription
b0020,Transcription regulation
b0021,DNA recombination
b0021,Reference proteome
b0021,Transposable element
b0021,Transposition
b0022,DNA recombination
b0022,Reference proteome
b0022,Transposable element
b0022,Transposition
b0023,3D-structure
b0023,Direct protein sequencing
b0023,RNA-binding
b0023,Reference proteome
b0023,Ribonucleoprotein
b0023,Ribosomal protein
b0023,rRNA-binding
b0024,Reference proteome
b0025,ATP-binding
b0025,FAD
b0025,FMN
b0025,Flavoprotein
b0025,Kinase
b0025,Multifunctional enzyme
b0025,Nucleotide-binding
b0025,Nucleotidyltransferase
b0025,Reference proteome
b0025,Transferase
b0026,ATP-binding
b0026,Acetylation
b0026,Aminoacyl-tRNA synthetase
b0026,Antibiotic resistance
b0026,Cytoplasm
b0026,Direct protein sequencing
b0026,Ligase
b0026,Metal-binding
b0026,Nucleotide-binding
b0026,Protein biosynthesis
b0026,Reference proteome
b0026,Zinc
b0027,Aspartyl protease
b0027,Cell inner membrane
b0027,Cell membrane
b0027,Hydrolase
b0027,Membrane
b0027,Protease
b0027,Reference proteome
b0027,Transmembrane
b0027,Transmembrane helix
b0028,3D-structure
b0028,Isomerase
b0028,Reference proteome
b0028,Rotamase
b0029,3D-structure
b0029,4Fe-4S
b0029,Iron
b0029,Iron-sulfur
b0029,Isoprene biosynthesis
b0029,Metal-binding
b0029,Oxidoreductase
b0029,Reference proteome
b0030,Glycosidase
b0030,Hydrolase
b0030,Reference proteome
b0031,3D-structure
b0031,Amino-acid biosynthesis
b0031,Cytoplasm
b0031,Diaminopimelate biosynthesis
b0031,Direct protein sequencing
b0031,Lysine biosynthesis
b0031,NAD
b0031,NADP
b0031,Oxidoreductase
b0031,Reference proteome
b0032,3D-structure
b0032,ATP-binding
b0032,Amino-acid biosynthesis
b0032,Arginine biosynthesis
b0032,Direct protein sequencing
b0032,Glutamine amidotransferase
b0032,Ligase
b0032,Nucleotide-binding
b0032,Pyrimidine biosynthesis
b0032,Reference proteome
b0033,3D-structure
b0033,ATP-binding
b0033,Amino-acid biosynthesis
b0033,Arginine biosynthesis
b0033,Direct protein sequencing
b0033,Ligase
b0033,Manganese
b0033,Metal-binding
b0033,Nucleotide-binding
b0033,Pyrimidine biosynthesis
b0033,Reference proteome
b0033,Repeat
b0034,Activator
b0034,Reference proteome
b0034,Transcription
b0034,Transcription regulation
b0035,Reference proteome
b0035,Repeat
b0035,Transferase
b0036,Direct protein sequencing
b0036,Lyase
b0036,Reference proteome
b0037,Ligase
b0037,Reference proteome
b0038,3D-structure
b0038,Cytoplasm
b0038,Direct protein sequencing
b0038,Reference proteome
b0038,Transferase
b0039,Cytoplasm
b0039,Direct protein sequencing
b0039,FAD
b0039,Flavoprotein
b0039,Oxidoreductase
b0039,Reference proteome
b0040,3D-structure
b0040,Antiport
b0040,Cell inner membrane
b0040,Cell membrane
b0040,Direct protein sequencing
b0040,Membrane
b0040,Reference proteome
b0040,Transmembrane
b0040,Transmembrane helix
b0040,Transport
b0041,Electron transport
b0041,Reference proteome
b0041,Transport
b0042,Electron transport
b0042,FAD
b0042,Flavoprotein
b0042,Reference proteome
b0042,Transport
b0043,Electron transport
b0043,FAD
b0043,Flavoprotein
b0043,Oxidoreductase
b0043,Reference proteome
b0043,Transport
b0044,4Fe-4S
b0044,Electron transport
b0044,Iron
b0044,Iron-sulfur
b0044,Metal-binding
b0044,Reference proteome
b0044,Transport
b0045,Cell inner membrane
b0045,Cell membrane
b0045,Membrane
b0045,Reference proteome
b0045,Transmembrane
b0045,Transmembrane helix
b0045,Transport
b0046,3D-structure
b0046,Cell inner membrane
b0046,Cell membrane
b0046,FMN
b0046,Flavoprotein
b0046,Membrane
b0046,NAD
b0046,Oxidoreductase
b0046,Reference proteome
b0047,3D-structure
b0047,Antiport
b0047,Cell inner membrane
b0047,Cell membrane
b0047,Ion transport
b0047,Membrane
b0047,Nucleotide-binding
b0047,Potassium
b0047,Potassium transport
b0047,Reference proteome
b0047,Transmembrane
b0047,Transmembrane helix
b0047,Transport
b0048,3D-structure
b0048,Antibiotic resistance
b0048,Direct protein sequencing
b0048,Methotrexate resistance
b0048,NADP
b0048,One-carbon metabolism
b0048,Oxidoreductase
b0048,Reference proteome
b0048,Trimethoprim resistance
b0049,Hydrolase
b0049,Reference proteome
b0050,Reference proteome
b0051,3D-structure
b0051,Antibiotic resistance
b0051,Cytoplasm
b0051,Direct protein sequencing
b0051,Methyltransferase
b0051,RNA-binding
b0051,Reference proteome
b0051,S-adenosyl-L-methionine
b0051,Transferase
b0051,rRNA processing
b0052,3D-structure
b0052,Cobalt
b0052,Cytoplasm
b0052,Magnesium
b0052,Metal-binding
b0052,NAD
b0052,NADP
b0052,Oxidoreductase
b0052,Pyridoxine biosynthesis
b0052,Reference proteome
b0052,Zinc
b0053,3D-structure
b0053,Chaperone
b0053,Direct protein sequencing
b0053,Isomerase
b0053,Periplasm
b0053,Reference proteome
b0053,Repeat
b0053,Rotamase
b0053,Signal
b0054,3D-structure
b0054,Cell outer membrane
b0054,Direct protein sequencing
b0054,Disulfide bond
b0054,Membrane
b0054,Reference proteome
b0054,Signal
b0055,Cell inner membrane
b0055,Cell membrane
b0055,Chaperone
b0055,Membrane
b0055,Reference proteome
b0055,Transmembrane
b0055,Transmembrane helix
b0057,Reference proteome
b0058,3D-structure
b0058,Direct protein sequencing
b0058,Isomerase
b0058,Reference proteome
b0058,rRNA processing
b0058,tRNA processing
b0059,3D-structure
b0059,ATP-binding
b0059,Activator
b0059,DNA-binding
b0059,Direct protein sequencing
b0059,Helicase
b0059,Hydrolase
b0059,Nucleotide-binding
b0059,Reference proteome
b0059,Transcription
b0059,Transcription regulation
b0060,3D-structure
b0060,DNA damage
b0060,DNA repair
b0060,DNA-binding
b0060,DNA-directed DNA polymerase
b0060,Direct protein sequencing
b0060,Nucleotidyltransferase
b0060,Reference proteome
b0060,SOS response
b0060,Transferase
b0061,3D-structure
b0061,Arabinose catabolism
b0061,Carbohydrate metabolism
b0061,Cobalt
b0061,Direct protein sequencing
b0061,Isomerase
b0061,Manganese
b0061,Metal-binding
b0061,Reference proteome
b0061,Zinc
b0062,3D-structure
b0062,Arabinose catabolism
b0062,Carbohydrate metabolism
b0062,Isomerase
b0062,Manganese
b0062,Metal-binding
b0062,Reference proteome
b0063,ATP-binding
b0063,Arabinose catabolism
b0063,Carbohydrate metabolism
b0063,Direct protein sequencing
b0063,Kinase
b0063,Nucleotide-binding
b0063,Reference proteome
b0063,Transferase
b0064,3D-structure
b0064,Activator
b0064,Arabinose catabolism
b0064,Carbohydrate metabolism
b0064,Cytoplasm
b0064,DNA-binding
b0064,Reference proteome
b0064,Repressor
b0064,Transcription
b0064,Transcription regulation
b0065,Cell inner membrane
b0065,Cell membrane
b0065,Membrane
b0065,Reference proteome
b0065,Transmembrane
b0065,Transmembrane helix
b0066,ATP-binding
b0066,Cell inner membrane
b0066,Cell membrane
b0066,Membrane
b0066,Nucleotide-binding
b0066,Reference proteome
b0066,Translocase
b0066,Transport
b0067,Cell inner membrane
b0067,Cell membrane
b0067,Membrane
b0067,Reference proteome
b0067,Repeat
b0067,Transmembrane
b0067,Transmembrane helix
b0067,Transport
b0068,3D-structure
b0068,Direct protein sequencing
b0068,Periplasm
b0068,Reference proteome
b0068,Signal
b0068,Transport
b0069,Activator
b0069,DNA-binding
b0069,Reference proteome
b0069,Repressor
b0069,Transcription
b0069,Transcription regulation
b0070,Cell inner membrane
b0070,Cell membrane
b0070,Membrane
b0070,Reference proteome
b0070,Sugar transport
b0070,Transmembrane
b0070,Transmembrane helix
b0070,Transport
b0071,Amino-acid biosynthesis
b0071,Branched-chain amino acid biosynthesis
b0071,Direct protein sequencing
b0071,Leucine biosynthesis
b0071,Lyase
b0071,Reference proteome
b0072,4Fe-4S
b0072,Amino-acid biosynthesis
b0072,Branched-chain amino acid biosynthesis
b0072,Direct protein sequencing
b0072,Iron
b0072,Iron-sulfur
b0072,Leucine biosynthesis
b0072,Lyase
b0072,Metal-binding
b0072,Reference proteome
b0073,3D-structure
b0073,Amino-acid biosynthesis
b0073,Branched-chain amino acid biosynthesis
b0073,Cytoplasm
b0073,Direct protein sequencing
b0073,Leucine biosynthesis
b0073,Magnesium
b0073,Manganese
b0073,Metal-binding
b0073,NAD
b0073,Oxidoreductase
b0073,Reference proteome
b0074,Amino-acid biosynthesis
b0074,Branched-chain amino acid biosynthesis
b0074,Direct protein sequencing
b0074,Leucine biosynthesis
b0074,Reference proteome
b0074,Transferase
b0075,Amino-acid biosynthesis
b0075,Branched-chain amino acid biosynthesis
b0075,Leader peptide
b0075,Leucine biosynthesis
