Entry	Entry name	Length	Gene names  (ordered locus )	Gene ontology IDs	Cross-reference (InterPro)	Keywords	Keyword ID
P0AAG8	MGLA_ECOLI	506	b2149 JW2136	GO:0005354; GO:0005524; GO:0005886; GO:0006974; GO:0015592; GO:0015757; GO:0015765; GO:0043211	IPR003593;IPR003439;IPR017871;IPR015862;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Repeat;Sugar transport;Translocase;Transport	KW-0067; KW-0472; KW-0547; KW-0677; KW-0762; KW-0813; KW-0997; KW-1003; KW-1185; KW-1278
P0A749	MURA_ECOLI	419	b3189 JW3156	GO:0005829; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	IPR001986;IPR036968;IPR013792;IPR005750;	3D-structure;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Direct protein sequencing;Peptidoglycan synthesis;Pyruvate;Reference proteome;Transferase	KW-0002; KW-0131; KW-0132; KW-0133; KW-0573; KW-0670; KW-0808; KW-0903; KW-0961; KW-0963; KW-1185
P77737	OPPF_ECOLI	334	b1247 JW1239	GO:0005524; GO:0005886; GO:0015031; GO:0042626	IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Transport	KW-0067; KW-0472; KW-0547; KW-0571; KW-0653; KW-0813; KW-0997; KW-1003; KW-1185
P23837	PHOQ_ECOLI	486	b1129 JW1115	GO:0000155; GO:0000160; GO:0004721; GO:0005524; GO:0005886; GO:0005887; GO:0007165; GO:0007234; GO:0010350; GO:0016301; GO:0042802; GO:0046777; GO:0046872	IPR003660;IPR003594;IPR036890;IPR005467;IPR036097;IPR015014;IPR038429;IPR004358;	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Direct protein sequencing;Hydrolase;Kinase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Protein phosphatase;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	KW-0002; KW-0067; KW-0378; KW-0418; KW-0460; KW-0472; KW-0479; KW-0547; KW-0597; KW-0808; KW-0812; KW-0902; KW-0903; KW-0904; KW-0997; KW-1003; KW-1133; KW-1185
P23865	PRC_ECOLI	682	b1830 JW1819	GO:0004175; GO:0004252; GO:0005886; GO:0006508; GO:0007165; GO:0030163; GO:0030288; GO:0046677	IPR029045;IPR001478;IPR036034;IPR004447;IPR005151;IPR020992;IPR040573;	3D-structure;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal	KW-0002; KW-0378; KW-0472; KW-0645; KW-0720; KW-0732; KW-0997; KW-1003; KW-1185
P32155	PTFLA_ECOLI	148	b3900 JW3871	GO:0005737; GO:0008982; GO:0009401; GO:0016021; GO:0016301	IPR016152;IPR002178;IPR004715;	Cytoplasm;Kinase;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	KW-0418; KW-0597; KW-0598; KW-0762; KW-0808; KW-0813; KW-0963; KW-1185
P69801	PTNC_ECOLI	266	b1818 JW1807	GO:0005886; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0022870; GO:0098708	IPR004700;	3D-structure;Cell inner membrane;Cell membrane;Formylation;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0291; KW-0472; KW-0598; KW-0762; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P65870	QUED_ECOLI	121	b2765 JW2735	GO:0008270; GO:0008616; GO:0042802; GO:0070497	IPR007115;IPR038418;	3D-structure;Lyase;Metal-binding;Queuosine biosynthesis;Reference proteome;Zinc	KW-0002; KW-0456; KW-0479; KW-0671; KW-0862; KW-1185
P0AAZ4	RARA_ECOLI	447	b0892 JW0875	GO:0003677; GO:0005524; GO:0006261; GO:0006282; GO:0006310; GO:0008047; GO:0017116; GO:0030894	IPR003593;IPR032423;IPR003959;IPR008921;IPR021886;IPR027417;	3D-structure;ATP-binding;DNA replication;Nucleotide-binding;Reference proteome	KW-0002; KW-0067; KW-0235; KW-0547; KW-1185
P0A7R1	RL9_ECOLI	149	b4203 JW4161	GO:0003735; GO:0005829; GO:0006412; GO:0022625; GO:0070180	IPR000244;IPR009027;IPR020594;IPR020069;IPR036791;IPR020070;IPR036935;	3D-structure;Acetylation;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding	KW-0002; KW-0007; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185
