,id,desc,elements
0,IPR027417,233,"['b0059', 'b0066', 'b0098', 'b0103', 'b0107', 'b0127', 'b0148', 'b0151', 'b0199', 'b0253', 'b0262', 'b0330', 'b0366', 'b0388', 'b0397', 'b0438', 'b0439', 'b0448', 'b0449', 'b0470', 'b0474', 'b0490', 'b0495', 'b0588', 'b0640', 'b0652', 'b0660', 'b0760', 'b0765', 'b0778', 'b0779', 'b0794', 'b0797', 'b0799', 'b0809', 'b0820', 'b0829', 'b0855', 'b0864', 'b0876', 'b0879', 'b0882', 'b0886', 'b0887', 'b0890', 'b0892', 'b0910', 'b0914', 'b0915', 'b0924', 'b0933', 'b0949', 'b0958', 'b0962', 'b0981', 'b1020', 'b1098', 'b1099', 'b1114', 'b1117', 'b1126', 'b1175', 'b1201', 'b1203', 'b1238', 'b1246', 'b1247', 'b1270', 'b1290', 'b1291', 'b1303', 'b1323', 'b1343', 'b1360', 'b1413', 'b1441', 'b1483', 'b1484', 'b1496', 'b1513', 'b1593', 'b1653', 'b1682', 'b1709', 'b1756', 'b1783', 'b1808', 'b1858', 'b1860', 'b1900', 'b1917', 'b1941', 'b1993', 'b1999', 'b2060', 'b2066', 'b2113', 'b2119', 'b2129', 'b2149', 'b2173', 'b2180', 'b2184', 'b2201', 'b2211', 'b2220', 'b2297', 'b2306', 'b2422', 'b2461', 'b2474', 'b2491', 'b2496', 'b2511', 'b2547', 'b2554', 'b2566', 'b2569', 'b2576', 'b2592', 'b2592', 'b2610', 'b2616', 'b2627', 'b2632', 'b2677', 'b2699', 'b2709', 'b2727', 'b2731', 'b2733', 'b2750', 'b2751', 'b2761', 'b2780', 'b2819', 'b2820', 'b2822', 'b2869', 'b2918', 'b2928', 'b2950', 'b2984', 'b2985', 'b2986', 'b3162', 'b3168', 'b3178', 'b3183', 'b3195', 'b3201', 'b3205', 'b3232', 'b3271', 'b3323', 'b3326', 'b3339', 'b3340', 'b3352', 'b3355', 'b3390', 'b3409', 'b3418', 'b3422', 'b3437', 'b3450', 'b3454', 'b3455', 'b3463', 'b3464', 'b3479', 'b3480', 'b3486', 'b3534', 'b3540', 'b3541', 'b3567', 'b3590', 'b3648', 'b3652', 'b3700', 'b3702', 'b3706', 'b3725', 'b3732', 'b3734', 'b3746', 'b3749', 'b3765', 'b3778', 'b3780', 'b3783', 'b3813', 'b3822', 'b3856', 'b3865', 'b3868', 'b3871', 'b3931', 'b3935', 'b3974', 'b3980', 'b4004', 'b4035', 'b4052', 'b4058', 'b4087', 'b4094', 'b4096', 'b4097', 'b4106', 'b4109', 'b4161', 'b4168', 'b4171', 'b4173', 'b4177', 'b4263', 'b4268', 'b4287', 'b4308', 'b4346', 'b4346', 'b4350', 'b4352', 'b4361', 'b4375', 'b4389', 'b4390', 'b4391', 'b4485', 'b4524', 'b4538']"
1,IPR036388,172,"['b0020', 'b0034', 'b0076', 'b0113', 'b0208', 'b0254', 'b0272', 'b0278', 'b0294', 'b0315', 'b0316', 'b0338', 'b0346', 'b0399', 'b0447', 'b0454', 'b0504', 'b0506', 'b0535', 'b0560', 'b0571', 'b0603', 'b0629', 'b0676', 'b0683', 'b0694', 'b0730', 'b0761', 'b0768', 'b0817', 'b0889', 'b0890', 'b0900', 'b0922', 'b0995', 'b1040', 'b1067', 'b1130', 'b1149', 'b1187', 'b1221', 'b1275', 'b1284', 'b1328', 'b1334', 'b1335', 'b1339', 'b1361', 'b1399', 'b1422', 'b1439', 'b1450', 'b1512', 'b1526', 'b1530', 'b1540', 'b1548', 'b1594', 'b1595', 'b1608', 'b1642', 'b1659', 'b1770', 'b1799', 'b1827', 'b1853', 'b1860', 'b1916', 'b1951', 'b1969', 'b1987', 'b1988', 'b2015', 'b2079', 'b2101', 'b2157', 'b2160', 'b2213', 'b2217', 'b2248', 'b2289', 'b2364', 'b2369', 'b2405', 'b2409', 'b2427', 'b2438', 'b2531', 'b2537', 'b2550', 'b2561', 'b2573', 'b2577', 'b2664', 'b2667', 'b2684', 'b2698', 'b2707', 'b2735', 'b2741', 'b2805', 'b2808', 'b2839', 'b2847', 'b2852', 'b2916', 'b2921', 'b2980', 'b3025', 'b3060', 'b3067', 'b3071', 'b3094', 'b3105', 'b3118', 'b3131', 'b3226', 'b3237', 'b3243', 'b3357', 'b3375', 'b3405', 'b3410', 'b3418', 'b3423', 'b3461', 'b3501', 'b3507', 'b3512', 'b3521', 'b3574', 'b3585', 'b3590', 'b3604', 'b3684', 'b3711', 'b3743', 'b3755', 'b3773', 'b3822', 'b3828', 'b3872', 'b3884', 'b3897', 'b3912', 'b3961', 'b3973', 'b4018', 'b4043', 'b4046', 'b4089', 'b4102', 'b4113', 'b4133', 'b4178', 'b4191', 'b4212', 'b4293', 'b4295', 'b4299', 'b4324', 'b4327', 'b4340', 'b4357', 'b4366', 'b4398', 'b4401', 'b4473', 'b4479', 'b4480', 'b4498', 'b4636']"
2,IPR003593,121,"['b0066', 'b0127', 'b0151', 'b0199', 'b0262', 'b0330', 'b0366', 'b0438', 'b0439', 'b0448', 'b0449', 'b0470', 'b0490', 'b0495', 'b0588', 'b0652', 'b0760', 'b0765', 'b0794', 'b0809', 'b0820', 'b0829', 'b0855', 'b0864', 'b0879', 'b0882', 'b0886', 'b0887', 'b0892', 'b0914', 'b0933', 'b0949', 'b1117', 'b1126', 'b1201', 'b1246', 'b1247', 'b1290', 'b1291', 'b1303', 'b1323', 'b1413', 'b1441', 'b1483', 'b1484', 'b1496', 'b1513', 'b1653', 'b1682', 'b1709', 'b1756', 'b1858', 'b1860', 'b1900', 'b1917', 'b1941', 'b2119', 'b2129', 'b2149', 'b2180', 'b2201', 'b2211', 'b2220', 'b2306', 'b2422', 'b2491', 'b2547', 'b2554', 'b2592', 'b2592', 'b2610', 'b2677', 'b2699', 'b2709', 'b2731', 'b2819', 'b2869', 'b2950', 'b3178', 'b3195', 'b3201', 'b3271', 'b3323', 'b3326', 'b3352', 'b3422', 'b3450', 'b3454', 'b3455', 'b3463', 'b3464', 'b3479', 'b3480', 'b3486', 'b3540', 'b3541', 'b3567', 'b3702', 'b3725', 'b3732', 'b3746', 'b3749', 'b3765', 'b3783', 'b3868', 'b3931', 'b4004', 'b4035', 'b4052', 'b4087', 'b4096', 'b4097', 'b4106', 'b4287', 'b4346', 'b4346', 'b4361', 'b4389', 'b4391', 'b4485', 'b4524']"
3,IPR036390,118,"['b0020', 'b0076', 'b0113', 'b0208', 'b0254', 'b0272', 'b0316', 'b0338', 'b0346', 'b0447', 'b0504', 'b0506', 'b0603', 'b0629', 'b0676', 'b0683', 'b0730', 'b0761', 'b0768', 'b0817', 'b0889', 'b0890', 'b0900', 'b0922', 'b1067', 'b1149', 'b1187', 'b1275', 'b1284', 'b1328', 'b1334', 'b1339', 'b1361', 'b1422', 'b1439', 'b1450', 'b1526', 'b1530', 'b1540', 'b1594', 'b1595', 'b1642', 'b1659', 'b1770', 'b1799', 'b1827', 'b1860', 'b1987', 'b1988', 'b2015', 'b2101', 'b2157', 'b2160', 'b2248', 'b2289', 'b2364', 'b2405', 'b2409', 'b2531', 'b2537', 'b2550', 'b2577', 'b2664', 'b2667', 'b2684', 'b2707', 'b2735', 'b2805', 'b2808', 'b2839', 'b2916', 'b2921', 'b2980', 'b3060', 'b3071', 'b3094', 'b3105', 'b3118', 'b3131', 'b3226', 'b3237', 'b3243', 'b3357', 'b3375', 'b3410', 'b3423', 'b3501', 'b3521', 'b3574', 'b3585', 'b3590', 'b3604', 'b3684', 'b3711', 'b3743', 'b3755', 'b3773', 'b3828', 'b3872', 'b3884', 'b3897', 'b3961', 'b3973', 'b4018', 'b4043', 'b4046', 'b4102', 'b4178', 'b4191', 'b4212', 'b4299', 'b4324', 'b4327', 'b4340', 'b4357', 'b4479', 'b4480', 'b4498']"
4,IPR036291,113,"['b0002', 'b0031', 'b0047', 'b0173', 'b0325', 'b0351', 'b0356', 'b0386', 'b0425', 'b0478', 'b0493', 'b0509', 'b0529', 'b0596', 'b0608', 'b0729', 'b0759', 'b0868', 'b0869', 'b0965', 'b1033', 'b1068', 'b1093', 'b1210', 'b1250', 'b1271', 'b1288', 'b1313', 'b1315', 'b1380', 'b1395', 'b1449', 'b1478', 'b1479', 'b1521', 'b1539', 'b1542', 'b1580', 'b1603', 'b1606', 'b1619', 'b1624', 'b1734', 'b1761', 'b1774', 'b1776', 'b1779', 'b1852', 'b2016', 'b2028', 'b2029', 'b2040', 'b2041', 'b2052', 'b2053', 'b2091', 'b2137', 'b2172', 'b2255', 'b2304', 'b2319', 'b2320', 'b2341', 'b2426', 'b2463', 'b2541', 'b2545', 'b2584', 'b2600', 'b2705', 'b2736', 'b2774', 'b2842', 'b2902', 'b2913', 'b2927', 'b3003', 'b3087', 'b3125', 'b3152', 'b3236', 'b3253', 'b3281', 'b3290', 'b3350', 'b3368', 'b3433', 'b3440', 'b3553', 'b3600', 'b3608', 'b3616', 'b3619', 'b3774', 'b3787', 'b3788', 'b3846', 'b3882', 'b3940', 'b3958', 'b4051', 'b4119', 'b4211', 'b4249', 'b4266', 'b4267', 'b4269', 'b4280', 'b4323', 'b4358', 'b4465', 'b4525', 'b4556']"
5,IPR036259,84,"['b0045', 'b0070', 'b0270', 'b0341', 'b0343', 'b0353', 'b0396', 'b0427', 'b0433', 'b0479', 'b0591', 'b0709', 'b0842', 'b0845', 'b0898', 'b1053', 'b1065', 'b1223', 'b1469', 'b1528', 'b1534', 'b1543', 'b1596', 'b1616', 'b1634', 'b1657', 'b1660', 'b1690', 'b1691', 'b1769', 'b1775', 'b1791', 'b1828', 'b1981', 'b2077', 'b2098', 'b2170', 'b2182', 'b2240', 'b2246', 'b2322', 'b2367', 'b2406', 'b2536', 'b2587', 'b2681', 'b2686', 'b2771', 'b2775', 'b2789', 'b2801', 'b2835', 'b2841', 'b2943', 'b2964', 'b3093', 'b3127', 'b3224', 'b3364', 'b3473', 'b3496', 'b3523', 'b3547', 'b3657', 'b3659', 'b3662', 'b3666', 'b3667', 'b3673', 'b3691', 'b3710', 'b3754', 'b3874', 'b3876', 'b3877', 'b4031', 'b4111', 'b4120', 'b4130', 'b4279', 'b4282', 'b4332', 'b4337', 'b4356']"
6,IPR003439,78,"['b0066', 'b0127', 'b0151', 'b0199', 'b0262', 'b0366', 'b0448', 'b0449', 'b0490', 'b0495', 'b0588', 'b0652', 'b0760', 'b0765', 'b0794', 'b0809', 'b0820', 'b0829', 'b0855', 'b0864', 'b0879', 'b0886', 'b0887', 'b0914', 'b0933', 'b0949', 'b1117', 'b1126', 'b1246', 'b1247', 'b1290', 'b1291', 'b1441', 'b1483', 'b1484', 'b1496', 'b1513', 'b1682', 'b1709', 'b1756', 'b1858', 'b1900', 'b1917', 'b2129', 'b2149', 'b2180', 'b2201', 'b2211', 'b2306', 'b2422', 'b2547', 'b2677', 'b3195', 'b3201', 'b3271', 'b3352', 'b3450', 'b3454', 'b3455', 'b3463', 'b3479', 'b3480', 'b3486', 'b3540', 'b3541', 'b3567', 'b3725', 'b3749', 'b4035', 'b4058', 'b4087', 'b4096', 'b4097', 'b4106', 'b4287', 'b4391', 'b4485', 'b4524']"
7,IPR009057,76,"['b0064', 'b0255', 'b0267', 'b0298', 'b0300', 'b0305', 'b0313', 'b0330', 'b0360', 'b0373', 'b0464', 'b0502', 'b0540', 'b0546', 'b0564', 'b0566', 'b0796', 'b0846', 'b1013', 'b1027', 'b1111', 'b1158', 'b1201', 'b1303', 'b1323', 'b1374', 'b1384', 'b1403', 'b1499', 'b1531', 'b1545', 'b1618', 'b1649', 'b1696', 'b1735', 'b1790', 'b1853', 'b1997', 'b2088', 'b2213', 'b2220', 'b2382', 'b2427', 'b2437', 'b2491', 'b2554', 'b2561', 'b2709', 'b2731', 'b2861', 'b2869', 'b3010', 'b3044', 'b3261', 'b3264', 'b3515', 'b3516', 'b3569', 'b3641', 'b3680', 'b3868', 'b3905', 'b3906', 'b3954', 'b3963', 'b4004', 'b4062', 'b4089', 'b4116', 'b4118', 'b4135', 'b4251', 'b4272', 'b4283', 'b4396', 'b4505']"
8,IPR017871,74,"['b0066', 'b0127', 'b0151', 'b0199', 'b0262', 'b0366', 'b0448', 'b0449', 'b0490', 'b0495', 'b0588', 'b0652', 'b0765', 'b0794', 'b0809', 'b0829', 'b0855', 'b0864', 'b0879', 'b0886', 'b0887', 'b0914', 'b0933', 'b0949', 'b1117', 'b1126', 'b1246', 'b1247', 'b1290', 'b1441', 'b1483', 'b1484', 'b1496', 'b1513', 'b1682', 'b1709', 'b1756', 'b1900', 'b1917', 'b2129', 'b2149', 'b2180', 'b2201', 'b2211', 'b2306', 'b2422', 'b2547', 'b2677', 'b3195', 'b3201', 'b3271', 'b3352', 'b3450', 'b3454', 'b3455', 'b3463', 'b3479', 'b3480', 'b3486', 'b3540', 'b3541', 'b3567', 'b3725', 'b3749', 'b4035', 'b4058', 'b4087', 'b4096', 'b4097', 'b4106', 'b4287', 'b4391', 'b4485', 'b4524']"
9,IPR013785,72,"['b0008', 'b0074', 'b0104', 'b0109', 'b0268', 'b0352', 'b0369', 'b0628', 'b0754', 'b0775', 'b0781', 'b0824', 'b0825', 'b0902', 'b0945', 'b1215', 'b1260', 'b1262', 'b1281', 'b1491', 'b1497', 'b1517', 'b1650', 'b1693', 'b1704', 'b1773', 'b1850', 'b2024', 'b2025', 'b2095', 'b2096', 'b2097', 'b2140', 'b2147', 'b2441', 'b2464', 'b2478', 'b2508', 'b2517', 'b2564', 'b2601', 'b2777', 'b2925', 'b3081', 'b3132', 'b3137', 'b3212', 'b3223', 'b3225', 'b3260', 'b3386', 'b3581', 'b3605', 'b3674', 'b3800', 'b3881', 'b3919', 'b3946', 'b3952', 'b3990', 'b3991', 'b3993', 'b4049', 'b4085', 'b4146', 'b4196', 'b4237', 'b4298', 'b4301', 'b4379', 'b4381', 'b4477']"
