bnumber	domain
b0001	IPR011720
b0002	IPR036393
b0002	IPR002912
b0002	IPR041743
b0002	IPR001048
b0002	IPR005106
b0002	IPR001341
b0002	IPR042199
b0002	IPR018042
b0002	IPR011147
b0002	IPR027795
b0002	IPR001342
b0002	IPR019811
b0002	IPR036291
b0003	IPR013750
b0003	IPR036554
b0003	IPR006204
b0003	IPR006203
b0003	IPR000870
b0003	IPR020568
b0003	IPR014721
b0004	IPR001926
b0004	IPR000634
b0004	IPR029144
b0004	IPR037158
b0004	IPR004450
b0004	IPR036052
b0005	IPR019638
b0006	IPR005583
b0007	IPR001463
b0008	IPR013785
b0008	IPR001585
b0008	IPR004730
b0008	IPR018225
b0009	IPR036425
b0009	IPR001453
b0009	IPR008284
b0010	IPR000791
b0011	IPR025217
b0011	IPR021150
b0013	IPR020240
b0014	IPR043129
b0014	IPR012725
b0014	IPR018181
b0014	IPR029048
b0014	IPR029047
b0014	IPR013126
b0015	IPR012724
b0015	IPR002939
b0015	IPR001623
b0015	IPR018253
b0015	IPR008971
b0015	IPR001305
b0015	IPR036410
b0015	IPR036869
b0016	IPR012337
b0016	IPR002559
b0016	IPR014736
b0018	IPR000021
b0018	IPR018084
b0019	IPR023171
b0019	IPR004670
b0020	IPR005119
b0020	IPR000847
b0020	IPR036388
b0020	IPR036390
b0021	IPR005063
b0022	IPR024431
b0022	IPR003220
b0023	IPR002583
b0023	IPR036510
b0024	IPR020105
b0025	IPR015864
b0025	IPR023468
b0025	IPR002606
b0025	IPR015865
b0025	IPR023465
b0025	IPR014729
b0026	IPR001412
b0026	IPR002300
b0026	IPR033708
b0026	IPR002301
b0026	IPR023585
b0026	IPR013155
b0026	IPR014729
b0026	IPR009080
b0026	IPR009008
b0026	IPR010663
b0027	IPR001872
b0028	IPR001179
b0029	IPR003451
b0030	IPR015910
b0030	IPR001910
b0030	IPR023186
b0030	IPR022976
b0030	IPR036452
b0031	IPR022663
b0031	IPR000846
b0031	IPR022664
b0031	IPR023940
b0031	IPR036291
b0032	IPR006274
b0032	IPR002474
b0032	IPR036480
b0032	IPR029062
b0032	IPR035686
b0032	IPR017926
b0033	IPR011761
b0033	IPR006275
b0033	IPR005480
b0033	IPR036897
b0033	IPR005479
b0033	IPR005483
b0033	IPR011607
b0033	IPR036914
b0033	IPR033937
b0033	IPR016185
b0034	IPR020357
b0034	IPR036388
b0035	IPR023446
b0035	IPR001451
b0035	IPR011004
b0036	IPR022852
b0036	IPR029045
b0036	IPR018376
b0036	IPR001753
b0036	IPR014748
b0037	IPR025110
b0037	IPR020845
b0037	IPR000873
b0037	IPR042099
b0037	IPR023456
b0038	IPR023452
b0038	IPR003673
b0038	IPR023606
b0039	IPR006089
b0039	IPR006091
b0039	IPR036250
b0039	IPR009075
b0039	IPR013786
b0039	IPR037069
b0039	IPR009100
b0039	IPR023450
b0040	IPR018093
b0040	IPR000060
b0040	IPR023449
b0041	IPR000049
b0041	IPR014730
b0041	IPR012255
b0041	IPR033948
b0041	IPR023463
b0041	IPR014729
b0042	IPR029035
b0042	IPR014730
b0042	IPR001308
b0042	IPR014731
b0042	IPR018206
b0042	IPR023461
b0042	IPR014729
b0043	IPR002938
b0043	IPR036188
b0043	IPR039651
b0044	IPR012206
b0045	IPR020846
b0045	IPR005828
b0045	IPR036259
b0046	IPR003680
b0046	IPR029039
b0046	IPR023948
b0047	IPR006153
b0047	IPR004771
b0047	IPR023941
b0047	IPR006036
b0047	IPR038770
b0047	IPR036291
b0047	IPR003148
b0048	IPR012259
b0048	IPR024072
b0048	IPR017925
b0048	IPR001796
b0049	IPR004617
b0049	IPR004843
b0049	IPR029052
b0050	IPR007474
b0050	IPR036767
b0050	IPR023065
b0051	IPR001737
b0051	IPR023165
b0051	IPR020596
b0051	IPR020598
b0051	IPR011530
b0051	IPR029063
b0052	IPR037510
b0052	IPR005255
b0053	IPR000297
b0053	IPR023058
b0053	IPR023034
b0053	IPR015391
b0053	IPR027304
b0054	IPR020889
b0054	IPR007543
b0054	IPR005653
b0055	IPR023749
b0055	IPR007791
b0055	IPR001623
b0055	IPR036869
b0055	IPR029024
b0058	IPR020103
b0058	IPR006225
b0058	IPR006224
b0058	IPR006145
b0059	IPR014001
b0059	IPR001650
b0059	IPR023949
b0059	IPR027417
b0059	IPR022737
b0059	IPR038718
b0059	IPR000330
b0059	IPR040765
b0059	IPR040766
b0060	IPR006172
b0060	IPR017964
b0060	IPR006133
b0060	IPR006134
b0060	IPR043502
b0060	IPR042087
b0060	IPR023211
b0060	IPR012337
b0060	IPR036397
b0061	IPR001303
b0061	IPR036409
b0061	IPR004661
b0061	IPR033748
b0062	IPR024664
b0062	IPR038583
b0062	IPR004216
b0062	IPR009015
b0062	IPR003762
b0063	IPR043129
b0063	IPR018485
b0063	IPR005929
b0064	IPR003313
b0064	IPR009057
b0064	IPR037923
b0064	IPR018060
b0064	IPR018062
b0064	IPR020449
b0065	IPR032818
b0065	IPR032816
b0066	IPR003593
b0066	IPR003439
b0066	IPR017871
b0066	IPR027417
b0066	IPR005968
b0067	IPR000515
b0067	IPR035906
b0067	IPR005947
b0068	IPR006061
b0068	IPR005967
b0068	IPR005948
b0069	IPR039424
b0069	IPR000914
b0069	IPR025370
b0069	IPR023767
b0070	IPR011701
b0070	IPR020846
b0070	IPR036259
b0070	IPR004750
b0071	IPR004431
b0071	IPR015928
