Entry	Gene names  (ordered locus )	Keywords	Gene ontology IDs	Entry name	Cross-reference (InterPro)
P08394	b2820 JW2788	3D-structure;ATP-binding;DNA damage;DNA repair;DNA-binding;Direct protein sequencing;Exonuclease;Helicase;Hydrolase;Magnesium;Metal-binding;Nuclease;Nucleotide-binding;Reference proteome	GO:0000287; GO:0000724; GO:0000725; GO:0003677; GO:0003678; GO:0004520; GO:0005524; GO:0005829; GO:0006310; GO:0008094; GO:0008854; GO:0009314; GO:0009338; GO:0015616; GO:0043138; GO:0044355	RECB_ECOLI	IPR014017;IPR000212;IPR011604;IPR027417;IPR038726;IPR004586;IPR011335;IPR014016;IPR034739;
P21693	b1343 JW1337	ATP-binding;Cytoplasm;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome;Ribosome biogenesis	GO:0000027; GO:0003724; GO:0005524; GO:0005737; GO:0016887; GO:0019843; GO:0033677; GO:0034458; GO:0043531	DBPA_ECOLI	IPR005580;IPR011545;IPR028619;IPR014001;IPR001650;IPR012677;IPR027417;IPR000629;IPR014014;
P17888	b3935 JW3906	3D-structure;ATP-binding;DNA replication;DNA-binding;Direct protein sequencing;Helicase;Hydrolase;Metal-binding;Nucleotide-binding;Primosome;Reference proteome;Zinc;Zinc-finger	GO:0003677; GO:0004386; GO:0005524; GO:0006260; GO:0006261; GO:0006268; GO:0006269; GO:0006270; GO:0006276; GO:0006302; GO:0006310; GO:0008270; GO:0010332; GO:0043138; GO:0046677; GO:1990077	PRIA_ECOLI	IPR011545;IPR014001;IPR001650;IPR027417;IPR005259;IPR041222;IPR042115;IPR041236;IPR040498;
P0A8J8	b3780 JW3753	ATP-binding;Cytoplasm;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome	GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0006401; GO:0097718	RHLB_ECOLI	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR023554;IPR014014;
P21507	b2576 JW2560	3D-structure;ATP-binding;Cytoplasm;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome;Ribosome biogenesis	GO:0000027; GO:0003724; GO:0005524; GO:0005829; GO:0008143; GO:0008186; GO:0016887; GO:0033592	SRMB_ECOLI	IPR011545;IPR028621;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;
P0A9P6	b3162 JW5531	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome;Stress response	GO:0000027; GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0006401; GO:0009314; GO:0033592; GO:0045727; GO:0048255; GO:0070417	DEAD_ECOLI	IPR021046;IPR034415;IPR005580;IPR011545;IPR028618;IPR014001;IPR001650;IPR012677;IPR027417;IPR000629;IPR014014;
P27296	b0799 JW0784	3D-structure;4Fe-4S;ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Iron;Iron-sulfur;Metal-binding;Nucleotide-binding;Reference proteome	GO:0003677; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0009432; GO:0016887; GO:0032508; GO:0033677; GO:0046872; GO:0051539	DING_ECOLI	IPR006555;IPR011545;IPR010614;IPR039000;IPR014013;IPR006554;IPR014001;IPR027417;
P15043	b3822 JW5855	3D-structure;ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;SOS response	GO:0003677; GO:0003678; GO:0005524; GO:0005694; GO:0005737; GO:0006260; GO:0006281; GO:0006310; GO:0006974; GO:0008094; GO:0008270; GO:0009378; GO:0009432; GO:0016887; GO:0017116; GO:0017117; GO:0030894; GO:0032508; GO:0043138; GO:0043590; GO:0046914	RECQ_ECOLI	IPR011545;IPR004589;IPR006293;IPR014001;IPR001650;IPR010997;IPR002121;IPR027417;IPR032284;IPR018982;IPR036388;
P03018	b3813 JW3786	3D-structure;ATP-binding;DNA damage;DNA repair;DNA replication;DNA-binding;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;SOS response	GO:0000725; GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006268; GO:0006289; GO:0006298; GO:0009314; GO:0009432; GO:0015616; GO:0017116; GO:0031297; GO:0032508; GO:0033202; GO:0043138; GO:0070581	UVRD_ECOLI	IPR013986;IPR005753;IPR014017;IPR000212;IPR027417;IPR014016;IPR034739;
